sex,age,deaths,nb_c,orphans
Female,0-4,0,0,0
Male,0-4,0,0,0
Female,5-9,6842,0,0
Male,5-9,7646,0,0
Female,10-14,166,0,0
Male,10-14,186,0,0
Female,15-19,288,0.061715812644575443,18
Male,15-19,322,0.009732961344324697,3
Female,20-24,403,0.3694452506790715,149
Male,20-24,451,0.14843927098432527,67
Female,25-29,731,0.9171869861936169,670
Male,25-29,817,0.5018502553673924,410
Female,30-34,1530,1.3929735041941964,2131
Male,30-34,1709,0.9015580197203533,1541
Female,35-39,2181,1.4506080435283737,3164
Male,35-39,2438,1.1402827244073213,2780
Female,40-44,3233,0.9923223825717334,3208
Male,40-44,3613,1.0702166125366745,3867
Female,45-49,4568,0.4727432178016659,2159
Male,45-49,5104,0.7338349639498007,3745
Female,50-54,9825,0.15039817389331026,1478
Male,50-54,10978,0.3906958939780256,4289
Female,55-59,18846,0.026561711753749866,501
Male,55-59,21059,0.1666867931228247,3510
Female,60-64,28459,0.002309728013675104,66
Male,60-64,31801,0.05434123623131743,1728
Female,65-69,37173,7.57393209181953e-5,3
Male,65-69,41538,0.016972679940849857,705
Female,70-74,37146,0,0
Male,70-74,41508,0.005678692624989487,236
Female,75-79,34030,0,0
Male,75-79,38027,0.0024987348337769774,95
Female,80-84,58651,0,0
Male,80-84,65539,0.0021788877216402033,143
Female,85-89,45741,0,0
Male,85-89,51112,0.0021788877216402033,111
Female,90-94,21982,0,0
Male,90-94,24563,0.0021788877216402033,54
Female,95-99,3357,0,0
Male,95-99,3751,0.0021788877216402033,8
Female,100+,0,0,0
Male,100+,0,0.0021788877216402033,0
