age,sex,max_deaths,nb_orphans
0-14,Female,7008,0
0-14,Male,7832,0
15-44,Female,8366,9340
15-44,Male,9350,8668
45-64,Female,61698,4204
45-64,Male,68942,13272
65+,Female,238080,3
65+,Male,266038,1352
