age,gender,COVID19_deaths
0-4,female,62
0-4,male,83
10-14,female,17
10-14,male,22
15-19,female,36
15-19,male,38
20-24,female,61
20-24,male,82
25-29,female,93
25-29,male,146
30-34,female,124
30-34,male,181
35-39,female,165
35-39,male,256
40-44,female,201
40-44,male,352
45-49,female,276
45-49,male,540
5-9,female,9
5-9,male,14
50-54,female,450
50-54,male,809
55-59,female,574
55-59,male,979
60-64,female,751
60-64,male,1327
65-69,female,809
65-69,male,1343
70-74,female,841
70-74,male,1207
75-79,female,620
75-79,male,760
80+,female,985
80+,male,936
