sex,age,deaths,nb_c,orphans
Female,0-4,0,0,0
Male,0-4,0,0,0
Female,5-9,3912,0,0
Male,5-9,4372,0,0
Female,10-14,95,0,0
Male,10-14,106,0,0
Female,15-19,165,0.061715812644575443,10
Male,15-19,184,0.009732961344324697,2
Female,20-24,231,0.3694452506790715,85
Male,20-24,258,0.14843927098432527,38
Female,25-29,418,0.9171869861936169,383
Male,25-29,467,0.5018502553673924,234
Female,30-34,875,1.3929735041941964,1219
Male,30-34,977,0.9015580197203533,881
Female,35-39,1247,1.4506080435283737,1809
Male,35-39,1394,1.1402827244073213,1590
Female,40-44,1849,0.9923223825717334,1835
Male,40-44,2066,1.0702166125366745,2211
Female,45-49,2612,0.4727432178016659,1235
Male,45-49,2918,0.7338349639498007,2141
Female,50-54,5617,0.15039817389331026,845
Male,50-54,6277,0.3906958939780256,2452
Female,55-59,10776,0.026561711753749866,286
Male,55-59,12041,0.1666867931228247,2007
Female,60-64,16272,0.002309728013675104,38
Male,60-64,18183,0.05434123623131743,988
Female,65-69,21255,7.57393209181953e-5,2
Male,65-69,23751,0.016972679940849857,403
Female,70-74,21239,0,0
Male,70-74,23733,0.005678692624989487,135
Female,75-79,19458,0,0
Male,75-79,21743,0.0024987348337769774,54
Female,80-84,33535,0,0
Male,80-84,37474,0.0021788877216402033,82
Female,85-89,26154,0,0
Male,85-89,29225,0.0021788877216402033,64
Female,90-94,12569,0,0
Male,90-94,14045,0.0021788877216402033,31
Female,95-99,1919,0,0
Male,95-99,2145,0.0021788877216402033,5
Female,100+,0,0,0
Male,100+,0,0.0021788877216402033,0
