sex,age,deaths
Female,0-4,602
Male,0-4,1130
Female,20-29,1204
Male,20-29,2261
Female,30-39,1505
Male,30-39,5550
Female,40-49,9329
Male,40-49,13052
Female,5-19,1505
Male,5-19,0
Female,50-59,13242
Male,50-59,28673
Female,60-69,18358
Male,60-69,33708
Female,70-79,10232
Male,70-79,13977
Female,80+,4213
Male,80+,4419
