"age","gender","deaths.x","deaths.y","deaths"
"0-9","Male",38,74,36
"10-19","Male",19,37,18
"20-29","Male",67,130,63
"30-39","Male",191,371,180
"40-49","Male",392,760,368
"50-59","Male",421,815,394
"60+","Male",908,1760,852
"0-9","Female",29,56,27
"10-19","Female",0,0,0
"20-29","Female",10,19,9
"30-39","Female",96,185,89
"40-49","Female",124,241,117
"50-59","Female",172,334,162
"60+","Female",258,500,242
