country,date,age,gender,deaths
Kenya,2020/7/27,0-9,Male,4
Kenya,2020/7/27,10-19,Male,2
Kenya,2020/7/27,20-29,Male,7
Kenya,2020/7/27,30-39,Male,20
Kenya,2020/7/27,40-49,Male,41
Kenya,2020/7/27,50-59,Male,44
Kenya,2020/7/27,60+,Male,95
Kenya,2020/7/27,0-9,Female,3
Kenya,2020/7/27,10-19,Female,0
Kenya,2020/7/27,20-29,Female,1
Kenya,2020/7/27,30-39,Female,10
Kenya,2020/7/27,40-49,Female,13
Kenya,2020/7/27,50-59,Female,18
Kenya,2020/7/27,60+,Female,27
