"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Global","Global",2021-12-27,12345305.1236138,9880101.84524686,14798396.4758307,9721595.55810295,8031175.4296926,11444108.9478316,9207943.0539698,7565261.98353696,10868980.6786187
"African ","African ",2021-12-27,3023190.85312507,2407630.60829507,3638107.98554873,2691449.07467728,2141611.04270229,3236273.85621456,2556941.10279169,2027552.66560871,3082755.65365321
"Americas","Americas",2021-12-27,1254947.7039644,1215803.57876,1301179.52204393,938285.778408638,903482.958965349,981964.1152798,863129.757389247,830522.648915907,904465.490906953
"Eastern Mediterranean","Eastern Mediterranean",2021-12-27,3355456.96261364,2572257.19298882,4140988.27028205,3047998.64314488,2323601.81526254,3766462.17670437,2892754.17231119,2204601.71284072,3576567.98279882
"European","European",2021-12-27,435400.627851674,408179.075177751,481037.643755549,286972.79137793,263602.169187192,331040.912144828,250911.404384974,228793.840174406,292617.316892221
"South-East Asia","South-East Asia",2021-12-27,3908862.8877351,1702358.60204142,6210393.36877127,2521872.67231243,1116898.79259182,4002009.22577238,2431973.78919795,1059646.88766641,3870636.53941393
"Western Pacific","Western Pacific",2021-12-27,367446.088323875,145638.318207515,641740.269992235,235016.598181796,111398.261158398,409097.385478318,212232.827894751,101304.217551267,369868.858506771
"Aruba","Americas",2021-12-27,109.776940441464,67.2617169333489,172.535205553003,66.4783859164093,35.3527773602067,119.955713352998,59.9590814545738,31.5457982088543,109.467826812201
"Afghanistan","Eastern Mediterranean",2021-12-27,124295.565310168,38786.32173157,213737.841045311,113198.566944499,35278.6933480309,194133.639724133,107704.811142803,33567.1842756605,184699.799955044
"Angola","African ",2021-12-27,83055.5904513567,12303.8678101733,156094.018020037,73596.5429496474,10903.3246449638,138571.079166866,70011.5535760589,10372.2228824446,131821.10016134
"Anguilla","Americas",2021-12-27,1.42735283446824,-3.51100480386422,7.29298459200185,0.788495426568015,-2.04749770400947,4.29098336430136,0.706163882754694,-1.83621828380154,3.85419894639741
"Albania","European",2021-12-27,618.89143378956,362.802014081678,1053.85036412775,412.587184850707,213.380069110164,796.329869800962,381.509351500849,195.680881380492,742.522689903581
"Andorra","European",2021-12-27,2.39585990154642,0.663321107383244,4.36232205353959,1.2923746886598,0.358241030218292,2.43751948186152,1.17845473051474,0.326986679347031,2.2280413092465
"United Arab Emirates","Eastern Mediterranean",2021-12-27,1182.8316759471,-1400.86481886684,4268.43359571824,533.028261130928,-647.267348803701,2067.30402246073,470.518886027659,-574.048534832459,1835.15595990298
"Argentina","Americas",2021-12-27,50593.4077622965,41077.8929325084,60056.0788394914,39436.7051243835,32019.5223520321,46812.6970858988,37128.0834240479,30145.1019636367,44072.2853805375
"Armenia","European",2021-12-27,845.547800154164,451.12827268241,1537.95081358194,628.20520535455,301.810362925769,1281.90422442433,585.093938443487,278.775325541725,1203.00960357336
"Antigua and Barbuda","Americas",2021-12-27,43.694950071164,26.992041660181,67.8994263661429,27.4539178718926,14.7212976698464,48.8727259569562,24.8354273476416,13.1716356792097,44.7442377165277
"Australia","Western Pacific",2021-12-27,596.499551171781,364.815712940375,973.120631872111,341.564016845613,181.830814496303,645.339182272146,306.728537560046,161.634614323575,586.449304791221
"Austria","European",2021-12-27,717.245816487205,422.959604387467,1226.8264272963,484.593796098947,252.444590764812,940.511759491022,448.489861244652,231.729403114944,877.812509956858
"Azerbaijan","European",2021-12-27,4257.54900612529,2195.90018177553,7850.17741606859,3553.86798471781,1654.95978019625,7330.31962300943,3336.09004000007,1543.27773707722,6928.81796928477
"Burundi","African ",2021-12-27,37681.2254796929,6408.5140841784,68465.2714869655,33424.333263476,5689.92916564387,60669.5719643647,31796.8666556717,5412.98419220583,57714.3017491454
"Belgium","European",2021-12-27,1680.57906938986,975.19105358479,2835.40182625714,1229.73047757383,627.805603700054,2345.78218867156,1144.1728309434,579.175579560103,2200.7010999891
"Benin","African ",2021-12-27,13363.0108051998,-10940.1054754812,37895.0518971252,11922.9464432507,-9774.31265698931,33792.8216243424,11343.6407740234,-9299.60028913712,32151.4620002574
"Caribbean Netherlands","Americas",2021-12-27,11.9068456738737,-6.35543506900665,33.0798470216222,7.60557595244741,-4.02377778293701,22.500811369351,6.88956516559889,-3.64163529702091,20.5060236233269
"Burkina Faso","African ",2021-12-27,68683.3483462542,-319.851242649714,137977.390472027,61036.2366923806,-284.024740296213,122735.310996913,58066.4510291413,-270.201181069126,116765.617437411
"Bangladesh","South-East Asia",2021-12-27,166594.495856344,77826.0700113639,301313.087970248,103507.932256176,44092.0574526534,207902.006600426,93550.0411429035,39624.5355945854,189853.278632542
"Bulgaria","Eastern European",2021-12-27,11863.4831080869,7148.54674009675,19293.1634109858,6167.8590735285,3240.2072087195,11536.5167651757,5499.33478952257,2861.3602099531,10394.7516371188
"Bahrain","Eastern Mediterranean",2021-12-27,953.06929794603,-211.919933480638,2433.87812156673,579.512208594381,-130.287802320422,1594.35007462373,522.851079198959,-118.681541455316,1444.0484470358
