"","age","gender","excess_deaths","covid_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-14","Female",0,161,164,0,164
"2","0-14","Male",0,187,200,0,200
"3","15-24","Female",3621.2,632,3535,3535,661
"4","15-24","Male",10814.6,937,10834,10834,971
"5","25-34","Female",13166.2,2588,13325,13325,2571
"6","25-34","Male",35918.8,4239,35809,35809,4383
"7","35-44","Female",24864.2,6288,24975,24975,6244
"8","35-44","Male",59197.8,10913,59498,59498,10883
"9","45-54","Female",19602.4,15079,19525,19525,15188
"10","45-54","Male",56001.8,28278,55803,55803,27967
"11","55-64","Female",71132.4,36888,71071,71071,36888
"12","55-64","Male",130332.6,61419,131045,131045,61485
"13","65-74","Female",155477,63812,155099,155099,64144
"14","65-74","Male",237687.2,96565,237409,237409,96502
"15","75-84","Female",170745.6,82622,170980,170980,82486
"16","75-84","Male",215697.4,105733,215621,215621,105369
"17","85+","Female",136002.6,112263,136184,136184,112644
"18","85+","Male",125541.4,84370,125894,125894,83470
