age,gender,excess_deaths,covid_deaths,deaths,nb_c,orphans
0-14,Female,-3359.2,62,62,0,0
0-14,Male,-3907.4,76,76,0,0
15-24,Female,1188.8,350,1188.8,0.1946520330770646,231
15-24,Male,4693.2,530,4693.2,0.09014900402402999,423
25-34,Female,5838.4,1439,5838.4,1.1380265588735832,6644
25-34,Male,15780.800000000001,2458,15780.800000000001,0.7907857553278068,12479
35-44,Female,10540.2,3527,10540.2,1.506853204044281,15883
35-44,Male,26322,6550,26322,1.3657298033845635,35949
45-54,Female,6690,9500,9500,0.5515292517488255,5240
45-54,Male,23997.6,18682,23997.6,0.6904373064613634,16569
55-64,Female,31678.2,25829,31678.2,0.03879147640329099,1229
55-64,Male,66612,45445,66612,0.11472025906446909,7642
65-74,Female,80068.2,49516,80068.2,1.465255146528533e-4,12
65-74,Male,130162.4,78042,130162.4,0.011975191473033709,1559
75-84,Female,95271.2,69455,95271.2,0,0
75-84,Male,127300.8,89860,127300.8,0.005025205949523616,640
85+,Female,84920,100441,100441,0,0
85+,Male,79848.40000000001,74434,79848.40000000001,0.005025205949523616,401
