children,gender,age
0,female,1
0,female,2
0,female,3
0,female,4
0,female,5
0,female,6
0,female,7
0,female,8
0,female,9
0,female,10
0,female,11
0,female,12
0,female,13
0,female,14
0.019724746899776376,female,15
0.03944899705280637,female,16
0.059172607138907235,female,17
0.07889595810168001,female,18
0.09862014590469098,female,19
0.17041063245699978,female,20
0.2502721672088936,female,21
0.3301319505861759,female,22
0.40999097743774565,female,23
0.48985214798297005,female,24
0.597486296568306,female,25
0.7189440072440827,female,26
0.840400894342137,female,27
0.9618575607909766,female,28
1.0833155471935754,female,29
1.2052637335167313,female,30
1.333221960347657,female,31
1.4611784481677816,female,32
1.5465917335376285,female,33
1.632005407026956,female,34
1.6687544049414835,female,35
1.6876484900991864,female,36
1.706541410086108,female,37
1.6644086553215625,female,38
1.6222739571839049,female,39
1.539821456510656,female,40
1.4452575242403447,female,41
1.3506943893469971,female,42
1.2446092822761785,female,43
1.1385224704363883,female,44
1.021930976379204,female,45
0.9006214234180246,female,46
0.7793130181026555,female,47
0.6790938600802288,female,48
0.5788739928946415,female,49
0.4779787669092518,female,50
0.37919367772780854,female,51
0.2804108220954371,female,52
0.23276235599983416,female,53
0.18511362388116948,female,54
0.13755014953371708,female,55
0.09343912215848478,female,56
0.04932964404815511,female,57
0.039579306350057214,female,58
0.02982890761759462,female,59
0.020100091296817817,female,60
0.011462318990031927,female,61
0.002824915409041738,female,62
0.0022084094275044357,female,63
0.0015918992015051827,female,64
9.76844310452795e-4,female,65
4.88410836075738e-4,female,66
0,female,67
0,female,68
0,female,69
0,female,70
0,female,71
0,female,72
0,female,73
0,female,74
0,female,75
0,female,76
0,female,77
0,female,78
0,female,79
0,female,80
0,female,81
0,female,82
0,female,83
0,female,84
0,female,85
0,female,86
0,female,87
0,female,88
0,female,89
0,female,90
0,female,91
0,female,92
0,female,93
0,female,94
0,female,95
0,female,96
0,female,97
0,female,98
0,female,99
0,female,100
