"","sex","age","deaths"
"1","Female","0-4",1673
"2","Male","0-4",3192
"3","Female","20-29",3281
"4","Male","20-29",6397
"5","Female","30-39",4094
"6","Male","30-39",15131
"7","Female","40-49",25908
"8","Male","40-49",35919
"9","Female","5-19",4267
"10","Male","5-19",0
"11","Female","50-59",36493
"12","Male","50-59",79090
"13","Female","60-69",50855
"14","Male","60-69",93261
"15","Female","70-79",28414
"16","Male","70-79",38488
"17","Female","80+",11553
"18","Male","80+",12118
