"","sex","age","deaths"
"1","Female","0-4",802
"2","Male","0-4",1542
"3","Female","20-29",1531
"4","Male","20-29",2868
"5","Female","30-39",1974
"6","Male","30-39",7141
"7","Female","40-49",12233
"8","Male","40-49",16790
"9","Female","5-19",1918
"10","Male","5-19",0
"11","Female","50-59",17115
"12","Male","50-59",37193
"13","Female","60-69",23565
"14","Male","60-69",43386
"15","Female","70-79",13329
"16","Male","70-79",18207
"17","Female","80+",5523
"18","Male","80+",5696
