age,sex,covid_deaths,nb_orphans
0-19,Female,2738,72
0-19,Male,1470,0
20-49,Female,15649,16574
20-49,Male,27120,44115
50-69,Female,41078,2968
50-69,Male,81092,24998
70+,Female,18778,0
70+,Male,23914,411
