sex,age,deaths
Female,0-4,782
Male,0-4,1470
Female,20-29,1565
Male,20-29,2939
Female,30-39,1956
Male,30-39,7214
Female,40-49,12128
Male,40-49,16967
Female,5-19,1956
Male,5-19,0
Female,50-59,17214
Male,50-59,37273
Female,60-69,23864
Male,60-69,43819
Female,70-79,13301
Male,70-79,18169
Female,80+,5477
Male,80+,5745
