,0-14,15,16,17,total
Brazil,44693466,3313191,3369227,3416740,54792624
Germany,10327912,704658,718440,729103,12480113
India,345054167,23311903,23369575,23383782,415119427
USA,61408926,4180890,4197186,4179617,73966619
Iran,20465581,1213435,1186620,1144552,24010188
Russia,24455821,1478151,1487678,1435422,28857072
Argentina,10918547,725765,717189,694957,13056458
Spain,7029476,490042,484471,473270,8477259
England,11598431,727588,723815,709786,13759620
Colombia,12229048,782769,781472,784667,14577956
Mexico,33463964,2211931,2210318,2205576,40091789
Peru,8070696,536413,536896,538953,9682958
South Africa,15749219,969655,957861,946826,18623561
Poland,5670444,355221,348536,347178,6721379
Italy,8389254,593267,593834,587522,10163877
France,12450736,823068,817359,814874,14906037
Kenya,20708963,1306572,1260260,1211762,24487557
Nigeria,89214812,5061242,4948701,4797826,104022581
Malawi,8140179,489686,472611,455923,9558399
Zimbabwe,5670524,319547,314404,311865,6616340
Philippines,32874300,2191620,2082039,2082039,39229998
