0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011744113839230167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011744113839230167,0.011744113839230167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011744113839230167,0.011744113839230167,0.011744113839230167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14375365566847148,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0,0,0,0,0,0,0,0,0,0,0,0
0.14375365566847148,0.14375365566847148,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0,0,0,0,0,0,0,0,0,0,0
0.14375365566847148,0.14375365566847148,0.14375365566847148,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0,0,0,0,0,0,0,0,0,0
0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0,0,0,0,0,0,0,0,0
0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0,0,0,0,0,0,0,0
0.2450008994326736,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.014477240636137033,0,0,0,0,0,0,0
0.2450008994326736,0.2450008994326736,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.011744113839230167,0.011744113839230167,0.011744113839230167,0.014477240636137033,0.014477240636137033,0,0,0,0,0,0
0.2450008994326736,0.2450008994326736,0.2450008994326736,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.011744113839230167,0.011744113839230167,0.014477240636137033,0.014477240636137033,0.014477240636137033,0,0,0,0,0
0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.011744113839230167,0.014477240636137033,0.014477240636137033,0.014477240636137033,0.014477240636137033,0,0,0,0
0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.014477240636137033,0.014477240636137033,0.014477240636137033,0.014477240636137033,0.014477240636137033,0,0,0
0.24825609354763664,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.15323525647544514,0.014477240636137033,0.014477240636137033,0.014477240636137033,0.014477240636137033,0.014477240636137033,0,0
0.24825609354763664,0.24825609354763664,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.14375365566847148,0.14375365566847148,0.14375365566847148,0.15323525647544514,0.15323525647544514,0.014477240636137033,0.014477240636137033,0.014477240636137033,0.014477240636137033,0.008147897228744528,0
0.24825609354763664,0.24825609354763664,0.24825609354763664,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.14375365566847148,0.14375365566847148,0.15323525647544514,0.15323525647544514,0.15323525647544514,0.014477240636137033,0.014477240636137033,0.014477240636137033,0.008147897228744528,0.008147897228744528
0.24825609354763664,0.24825609354763664,0.24825609354763664,0.24825609354763664,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.14375365566847148,0.15323525647544514,0.15323525647544514,0.15323525647544514,0.15323525647544514,0.014477240636137033,0.014477240636137033,0.008147897228744528,0.008147897228744528
0.24825609354763664,0.24825609354763664,0.24825609354763664,0.24825609354763664,0.24825609354763664,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.2450008994326736,0.15323525647544514,0.15323525647544514,0.15323525647544514,0.15323525647544514,0.15323525647544514,0.014477240636137033,0.008147897228744528,0.008147897228744528
