age,gender,deaths,nb_c,orphans
0-9,Female,0,0,0
0-9,Male,0,0,0
10-19,Female,0,0.1601089339247047,0
10-19,Male,6,0.01761617075884525,0
20-29,Female,18,1.7532872468894007,32
20-29,Male,18,1.0053362312144074,18
30-39,Female,36,3.449911372160027,124
30-39,Male,65,3.330696944229877,216
40-49,Female,59,2.6729943827825937,158
40-49,Male,178,3.988283418967762,710
50-59,Female,42,0.9459562466743688,40
50-59,Male,232,2.708946310077522,628
60-69,Female,71,0.09701379721379022,7
60-69,Male,190,1.1426036894315768,217
70+,Female,36,0,0
70+,Male,166,0.1372422002617292,23
