"","country","date","age","gender","deaths"
"1","Nigeria","2021-04-30","0-4","Male",4
"2","Nigeria","2021-04-30","05-Sep","Male",3
"3","Nigeria","2021-04-30","Oct-14","Male",4
"4","Nigeria","2021-04-30","15-19","Male",9
"5","Nigeria","2021-04-30","20-24","Male",20
"6","Nigeria","2021-04-30","25-29","Male",49
"7","Nigeria","2021-04-30","30-34","Male",36
"8","Nigeria","2021-04-30","35-39","Male",2
"9","Nigeria","2021-04-30","40-44","Male",14
"10","Nigeria","2021-04-30","45-49","Male",98
"11","Nigeria","2021-04-30","50-54","Male",148
"12","Nigeria","2021-04-30","55-59","Male",153
"13","Nigeria","2021-04-30","60-64","Male",276
"14","Nigeria","2021-04-30","65-69","Male",190
"15","Nigeria","2021-04-30","70-74","Male",165
"16","Nigeria","2021-04-30","75-79","Male",124
"17","Nigeria","2021-04-30","80-84","Male",84
"18","Nigeria","2021-04-30","85+","Male",61
"19","Nigeria","2021-04-30","0-4","Female",2
"20","Nigeria","2021-04-30","05-Sep","Female",8
"21","Nigeria","2021-04-30","Oct-14","Female",1
"22","Nigeria","2021-04-30","15-19","Female",9
"23","Nigeria","2021-04-30","20-24","Female",9
"24","Nigeria","2021-04-30","25-29","Female",23
"25","Nigeria","2021-04-30","30-34","Female",21
"26","Nigeria","2021-04-30","35-39","Female",32
"27","Nigeria","2021-04-30","40-44","Female",28
"28","Nigeria","2021-04-30","45-49","Female",41
"29","Nigeria","2021-04-30","50-54","Female",76
"30","Nigeria","2021-04-30","55-59","Female",77
"31","Nigeria","2021-04-30","60-64","Female",63
"32","Nigeria","2021-04-30","65-69","Female",52
"33","Nigeria","2021-04-30","70-74","Female",46
"34","Nigeria","2021-04-30","75-79","Female",33
"35","Nigeria","2021-04-30","80-84","Female",42
"36","Nigeria","2021-04-30","85+","Female",36
