"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-4","Male",3,4,0
"2",2,"05-Sep","Male",3,4,2
"3",3,"Oct-14","Male",7,9,1
"4",4,"15-19","Male",7,9,0
"5",5,"20-24","Male",20,26,4
"6",6,"25-29","Male",34,44,11
"7",7,"30-34","Male",34,46,13
"8",8,"35-39","Male",7,9,3
"9",9,"40-44","Male",7,9,3
"10",10,"45-49","Male",103,139,22
"11",11,"50-54","Male",172,226,54
"12",12,"55-59","Male",182,240,58
"13",13,"60-64","Male",253,339,80
"14",14,"65-69","Male",187,249,61
"15",15,"70-74","Male",182,246,81
"16",16,"75-79","Male",122,160,41
"17",17,"80-84","Male",87,116,25
"18",18,"85+","Male",54,74,30
"19",19,"0-4","Female",3,4,0
"20",20,"05-Sep","Female",4,5,0
"21",21,"Oct-14","Female",3,4,3
"22",22,"15-19","Female",7,9,0
"23",23,"20-24","Female",9,16,4
"24",24,"25-29","Female",19,26,3
"25",25,"30-34","Female",21,30,9
"26",26,"35-39","Female",29,40,4
"27",27,"40-44","Female",28,37,8
"28",28,"45-49","Female",41,51,12
"29",29,"50-54","Female",69,90,23
"30",30,"55-59","Female",73,98,23
"31",31,"60-64","Female",73,98,23
"32",32,"65-69","Female",61,82,17
"33",33,"70-74","Female",46,60,19
"34",34,"75-79","Female",42,56,12
"35",35,"80-84","Female",41,53,12
"36",36,"85+","Female",32,40,6
