0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09622730970524207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09622730970524207,0.09622730970524207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09622730970524207,0.09622730970524207,0.09622730970524207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09622730970524207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09622730970524207,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21653603039102517,0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09622730970524207,0,0,0,0,0,0,0,0,0,0,0,0
0.21653603039102517,0.21653603039102517,0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09622730970524207,0,0,0,0,0,0,0,0,0,0,0
0.21653603039102517,0.21653603039102517,0.21653603039102517,0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09319245473652235,0,0,0,0,0,0,0,0,0,0
0.21653603039102517,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.09622730970524207,0.09622730970524207,0.09622730970524207,0.09319245473652235,0.09319245473652235,0,0,0,0,0,0,0,0,0
0.21653603039102517,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.09622730970524207,0.09622730970524207,0.09319245473652235,0.09319245473652235,0.09319245473652235,0,0,0,0,0,0,0,0
0.2404238872104173,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.09622730970524207,0.09319245473652235,0.09319245473652235,0.09319245473652235,0.09319245473652235,0,0,0,0,0,0,0
0.2404238872104173,0.2404238872104173,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.09319245473652235,0.09319245473652235,0.09319245473652235,0.09319245473652235,0.09319245473652235,0,0,0,0,0,0
0.2404238872104173,0.2404238872104173,0.2404238872104173,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.2085832965314301,0.09319245473652235,0.09319245473652235,0.09319245473652235,0.09319245473652235,0.09793316140222758,0,0,0,0,0
0.2404238872104173,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.21653603039102517,0.21653603039102517,0.21653603039102517,0.2085832965314301,0.2085832965314301,0.09319245473652235,0.09319245473652235,0.09319245473652235,0.09793316140222758,0.09793316140222758,0,0,0,0
0.2404238872104173,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.21653603039102517,0.21653603039102517,0.2085832965314301,0.2085832965314301,0.2085832965314301,0.09319245473652235,0.09319245473652235,0.09793316140222758,0.09793316140222758,0.09793316140222758,0,0,0
0.20662464885974274,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.21653603039102517,0.2085832965314301,0.2085832965314301,0.2085832965314301,0.2085832965314301,0.09319245473652235,0.09793316140222758,0.09793316140222758,0.09793316140222758,0.09793316140222758,0,0
0.20662464885974274,0.20662464885974274,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.2085832965314301,0.2085832965314301,0.2085832965314301,0.2085832965314301,0.2085832965314301,0.09793316140222758,0.09793316140222758,0.09793316140222758,0.09793316140222758,0.09793316140222758,0
0.20662464885974274,0.20662464885974274,0.20662464885974274,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.24374543811064886,0.2085832965314301,0.2085832965314301,0.2085832965314301,0.2085832965314301,0.20547579042637115,0.09793316140222758,0.09793316140222758,0.09793316140222758,0.09793316140222758,0.08065083341742885
0.20662464885974274,0.20662464885974274,0.20662464885974274,0.20662464885974274,0.2404238872104173,0.2404238872104173,0.2404238872104173,0.24374543811064886,0.24374543811064886,0.2085832965314301,0.2085832965314301,0.2085832965314301,0.20547579042637115,0.20547579042637115,0.09793316140222758,0.09793316140222758,0.09793316140222758,0.08065083341742885
0.20662464885974274,0.20662464885974274,0.20662464885974274,0.20662464885974274,0.20662464885974274,0.2404238872104173,0.2404238872104173,0.24374543811064886,0.24374543811064886,0.24374543811064886,0.2085832965314301,0.2085832965314301,0.20547579042637115,0.20547579042637115,0.20547579042637115,0.09793316140222758,0.09793316140222758,0.08065083341742885
