"","country","date","age","gender","deaths"
"1","Nigeria","2021-10-09","0-4","Male",5
"2","Nigeria","2021-10-09","05-Sep","Male",4
"3","Nigeria","2021-10-09","Oct-14","Male",9
"4","Nigeria","2021-10-09","15-19","Male",9
"5","Nigeria","2021-10-09","20-24","Male",22
"6","Nigeria","2021-10-09","25-29","Male",40
"7","Nigeria","2021-10-09","30-34","Male",55
"8","Nigeria","2021-10-09","35-39","Male",8
"9","Nigeria","2021-10-09","40-44","Male",6
"10","Nigeria","2021-10-09","45-49","Male",145
"11","Nigeria","2021-10-09","50-54","Male",254
"12","Nigeria","2021-10-09","55-59","Male",235
"13","Nigeria","2021-10-09","60-64","Male",368
"14","Nigeria","2021-10-09","65-69","Male",241
"15","Nigeria","2021-10-09","70-74","Male",234
"16","Nigeria","2021-10-09","75-79","Male",156
"17","Nigeria","2021-10-09","80-84","Male",126
"18","Nigeria","2021-10-09","85+","Male",70
"19","Nigeria","2021-10-09","0-4","Female",6
"20","Nigeria","2021-10-09","05-Sep","Female",3
"21","Nigeria","2021-10-09","Oct-14","Female",3
"22","Nigeria","2021-10-09","15-19","Female",17
"23","Nigeria","2021-10-09","20-24","Female",16
"24","Nigeria","2021-10-09","25-29","Female",30
"25","Nigeria","2021-10-09","30-34","Female",38
"26","Nigeria","2021-10-09","35-39","Female",50
"27","Nigeria","2021-10-09","40-44","Female",31
"28","Nigeria","2021-10-09","45-49","Female",57
"29","Nigeria","2021-10-09","50-54","Female",85
"30","Nigeria","2021-10-09","55-59","Female",106
"31","Nigeria","2021-10-09","60-64","Female",81
"32","Nigeria","2021-10-09","65-69","Female",79
"33","Nigeria","2021-10-09","70-74","Female",65
"34","Nigeria","2021-10-09","75-79","Female",52
"35","Nigeria","2021-10-09","80-84","Female",63
"36","Nigeria","2021-10-09","85+","Female",34
