"age","gender","covid_deaths","excess_deaths","deaths","nb_c","orphans"
"0-9","Female",5,-303.8,5,0,0
"0-9","Male",8,-426.4,8,0,0
"10-19","Female",8,-43.2,8,0.00706555280844839,0
"10-19","Male",11,-64.6,11,0.00179258990904968,0
"20-29","Female",69,-84.2,69,0.366945519073144,25
"20-29","Male",63,-234.4,63,0.205673927780316,13
"30-39","Female",172,-7,172,1.48664898178581,256
"30-39","Male",267,-80.6,267,1.20932754739293,323
"40-49","Female",515,-614.4,515,1.34422384510071,692
"40-49","Male",791,-693.6,791,1.47983090395904,1171
"50-59","Female",1624,-502.6,1624,0.251256536287875,408
"50-59","Male",3001,-927.2,3001,0.498516455788915,1496
"60-69","Female",4366,2433.8,4366,0.00521549528792772,23
"60-69","Male",9227,1647.4,9227,0.0709373750958035,655
"70-79","Female",9019,12636.2,12636.2,0,0
"70-79","Male",18212,23728.6,23728.6,0.00885694014488631,210
"80-89","Female",19579,3618.4,19579,0,0
"80-89","Male",25629,12541.4,25629,0.000701261246041762,18
"90+","Female",14822,30863,30863,0,0
"90+","Male",11236,18753.4,18753.4,0.000492054724457286,9
