"age","gender","covid_deaths","excess_deaths","deaths"
"0-9","Male",4,-363.4,4
"10-19","Male",4,-43.8,4
"20-29","Male",49,-231.6,49
"30-39","Male",187,-82,187
"40-49","Male",583,-526.8,583
"50-59","Male",2349,-697.6,2349
"60-69","Male",7681,1582.2,7681
"70-79","Male",15857,18414.4,18414.4
"80-89","Male",23520,12819.2,23520
"90+","Male",10279,16011,16011
"0-9","Female",1,-243.8,1
"10-19","Female",8,-47,8
"20-29","Female",50,-86,50
"30-39","Female",122,-33.6,122
"40-49","Female",402,-389.8,402
"50-59","Female",1243,-276,1243
"60-69","Female",3467,1712,3467
"70-79","Female",7623,9315.4,9315.4
"80-89","Female",17655,5606.8,17655
"90+","Female",13590,26015.6,26015.6
