"country","age","date","afr","gender","fertility_rate"
"France","15-19","2003",0.0102616502028206,"Female",10.2616502028206
"France","15-19","2004",0.0102380698433547,"Female",10.2380698433547
"France","15-19","2005",0.0101261530379837,"Female",10.1261530379837
"France","15-19","2006",0.0100168321369743,"Female",10.0168321369743
"France","15-19","2007",0.00996295650533649,"Female",9.96295650533649
"France","15-19","2008",0.00983553190900545,"Female",9.83553190900545
"France","15-19","2009",0.00961887483378603,"Female",9.61887483378603
"France","15-19","2010",0.00940752229253787,"Female",9.40752229253787
"France","15-19","2011",0.00924007790699962,"Female",9.24007790699962
"France","15-19","2012",0.00893114083938759,"Female",8.93114083938759
"France","15-19","2013",0.00843710727341675,"Female",8.43710727341675
"France","15-19","2014",0.00790935433541942,"Female",7.90935433541942
"France","15-19","2015",0.00717554726860172,"Female",7.17554726860172
"France","15-19","2016",0.00654453728681336,"Female",6.54453728681336
"France","15-19","2017",0.00618404787048686,"Female",6.18404787048686
"France","15-19","2018",0.00608619598423672,"Female",6.08619598423672
"France","15-19","2019",0.00614124076143448,"Female",6.14124076143448
"France","20-24","2003",0.0607472662704487,"Female",60.7472662704487
"France","20-24","2004",0.0608416561659739,"Female",60.8416561659739
"France","20-24","2005",0.0610653988061951,"Female",61.0653988061951
"France","20-24","2006",0.060127907439541,"Female",60.127907439541
"France","20-24","2007",0.0594120413547418,"Female",59.4120413547418
"France","20-24","2008",0.0601250963297565,"Female",60.1250963297565
"France","20-24","2009",0.0602180905069732,"Female",60.2180905069732
"France","20-24","2010",0.059310017420851,"Female",59.310017420851
"France","20-24","2011",0.0576856807528321,"Female",57.6856807528321
"France","20-24","2012",0.0561167421692874,"Female",56.1167421692874
"France","20-24","2013",0.0541655495588218,"Female",54.1655495588218
"France","20-24","2014",0.0515304216991971,"Female",51.5304216991971
"France","20-24","2015",0.0486241677534328,"Female",48.6241677534328
"France","20-24","2016",0.0463567349282228,"Female",46.3567349282228
"France","20-24","2017",0.0444906768116407,"Female",44.4906768116407
"France","20-24","2018",0.0433681730631627,"Female",43.3681730631627
"France","20-24","2019",0.0432253653882529,"Female",43.2253653882529
"France","25-29","2003",0.129425924692694,"Female",129.425924692694
"France","25-29","2004",0.128907446519856,"Female",128.907446519856
"France","25-29","2005",0.132002941707054,"Female",132.002941707054
"France","25-29","2006",0.133984046468134,"Female",133.984046468134
"France","25-29","2007",0.13272310654599,"Female",132.72310654599
"France","25-29","2008",0.132341234209089,"Female",132.341234209089
"France","25-29","2009",0.132072398176147,"Female",132.072398176147
"France","25-29","2010",0.130900234346855,"Female",130.900234346855
"France","25-29","2011",0.128279741196165,"Female",128.279741196165
"France","25-29","2012",0.126744395274937,"Female",126.744395274937
"France","25-29","2013",0.126420179582939,"Female",126.420179582939
"France","25-29","2014",0.124521162300582,"Female",124.521162300582
"France","25-29","2015",0.119909448158424,"Female",119.909448158424
"France","25-29","2016",0.115864220630651,"Female",115.864220630651
"France","25-29","2017",0.113209970495736,"Female",113.209970495736
"France","25-29","2018",0.112267802444633,"Female",112.267802444633
"France","25-29","2019",0.112267717629657,"Female",112.267717629657
"France","30-34","2003",0.1114044911782,"Female",111.4044911782
"France","30-34","2004",0.11337718641323,"Female",113.37718641323
"France","30-34","2005",0.116826946110942,"Female",116.826946110942
"France","30-34","2006",0.116915604548029,"Female",116.915604548029
"France","30-34","2007",0.11722551136763,"Female",117.22551136763
"France","30-34","2008",0.119301557173414,"Female",119.301557173414
"France","30-34","2009",0.121999775273898,"Female",121.999775273898
"France","30-34","2010",0.124380581129336,"Female",124.380581129336
"France","30-34","2011",0.125335406308228,"Female",125.335406308228
"France","30-34","2012",0.125219116601651,"Female",125.219116601651
"France","30-34","2013",0.125014418018054,"Female",125.014418018054
"France","30-34","2014",0.124346155506458,"Female",124.346155506458
"France","30-34","2015",0.122134462477434,"Female",122.134462477434
"France","30-34","2016",0.121049834528514,"Female",121.049834528514
"France","30-34","2017",0.120184062418625,"Female",120.184062418625
"France","30-34","2018",0.120102347027676,"Female",120.102347027676
"France","30-34","2019",0.120608378380189,"Female",120.608378380189
"France","35-39","2003",0.0466480748646197,"Female",46.6480748646197
"France","35-39","2004",0.0480322139877508,"Female",48.0322139877508
"France","35-39","2005",0.0508394175196319,"Female",50.8394175196319
"France","35-39","2006",0.0528774577124849,"Female",52.8774577124849
"France","35-39","2007",0.0541871506205308,"Female",54.1871506205308
"France","35-39","2008",0.0555542061500813,"Female",55.5542061500813
"France","35-39","2009",0.0562062711626547,"Female",56.2062711626547
"France","35-39","2010",0.0564416383419933,"Female",56.4416383419933
"France","35-39","2011",0.0564924998393438,"Female",56.4924998393438
"France","35-39","2012",0.0577000468029266,"Female",57.7000468029266
"France","35-39","2013",0.0593851317230737,"Female",59.3851317230737
"France","35-39","2014",0.0609100053893337,"Female",60.9100053893337
"France","35-39","2015",0.0618314527423052,"Female",61.8314527423052
"France","35-39","2016",0.0624260084815022,"Female",62.4260084815022
"France","35-39","2017",0.0628419721635943,"Female",62.8419721635943
"France","35-39","2018",0.0630654629205221,"Female",63.0654629205221
"France","35-39","2019",0.0630746085293384,"Female",63.0746085293384
"France","40-44","2003",0.00954180621710525,"Female",9.54180621710525
"France","40-44","2004",0.010038711903447,"Female",10.038711903447
"France","40-44","2005",0.0105263790856002,"Female",10.5263790856002
"France","40-44","2006",0.0108025446055792,"Female",10.8025446055792
"France","40-44","2007",0.011088996291196,"Female",11.088996291196
"France","40-44","2008",0.0113192047022875,"Female",11.3192047022875
"France","40-44","2009",0.0116260432568414,"Female",11.6260432568414
"France","40-44","2010",0.0122474665086642,"Female",12.2474665086642
"France","40-44","2011",0.012622032826726,"Female",12.622032826726
"France","40-44","2012",0.012960564495347,"Female",12.960564495347
"France","40-44","2013",0.0135868630524851,"Female",13.5868630524851
"France","40-44","2014",0.0136264143392767,"Female",13.6264143392767
"France","40-44","2015",0.0134431109155886,"Female",13.4431109155886
"France","40-44","2016",0.0137195765525373,"Female",13.7195765525373
"France","40-44","2017",0.0140649313226677,"Female",14.0649313226677
"France","40-44","2018",0.0142484887146465,"Female",14.2484887146465
"France","40-44","2019",0.0142712812083401,"Female",14.2712812083401
"France","45-49","2003",0.000429584610345505,"Female",0.429584610345505
"France","45-49","2004",0.000472828431599865,"Female",0.472828431599865
"France","45-49","2005",0.000488136816168032,"Female",0.488136816168032
"France","45-49","2006",0.000495274518598074,"Female",0.495274518598074
"France","45-49","2007",0.000527639558902666,"Female",0.527639558902666
"France","45-49","2008",0.000570285749029026,"Female",0.570285749029026
"France","45-49","2009",0.000623471236800727,"Female",0.623471236800727
"France","45-49","2010",0.000662387782228035,"Female",0.662387782228035
"France","45-49","2011",0.000673591755189448,"Female",0.673591755189448
"France","45-49","2012",0.000698239397838658,"Female",0.698239397838658
"France","45-49","2013",0.000746081050639732,"Female",0.746081050639732
"France","45-49","2014",0.000780881119001704,"Female",0.780881119001704
"France","45-49","2015",0.000785684068584982,"Female",0.785684068584982
"France","45-49","2016",0.00082682299458541,"Female",0.82682299458541
"France","45-49","2017",0.000894543889383885,"Female",0.894543889383885
"France","45-49","2018",0.000929644718873972,"Female",0.929644718873972
"France","45-49","2019",0.000929300394453955,"Female",0.929300394453955
"France","50-54","2003",1.45659206391807e-05,"Female",0.0145659206391807
"France","50-54","2004",1.60321884089207e-05,"Female",0.0160321884089207
"France","50-54","2005",1.65512496354266e-05,"Female",0.0165512496354266
"France","50-54","2006",1.6793267632902e-05,"Female",0.016793267632902
"France","50-54","2007",1.78906686971101e-05,"Female",0.0178906686971101
"France","50-54","2008",1.93366725947925e-05,"Female",0.0193366725947925
"France","50-54","2009",2.11400323413524e-05,"Female",0.0211400323413524
"France","50-54","2010",2.24595752174097e-05,"Female",0.0224595752174097
"France","50-54","2011",2.28394682048894e-05,"Female",0.0228394682048894
"France","50-54","2012",2.36751955520179e-05,"Female",0.0236751955520179
"France","50-54","2013",2.52973619452395e-05,"Female",0.0252973619452395
"France","50-54","2014",2.64773274788997e-05,"Female",0.0264773274788997
"France","50-54","2015",2.66401810373821e-05,"Female",0.0266401810373821
"France","50-54","2016",2.80350781469909e-05,"Female",0.0280350781469909
"France","50-54","2017",3.03312897790964e-05,"Female",0.0303312897790964
"France","50-54","2018",3.15214532170064e-05,"Female",0.0315214532170064
"France","50-54","2019",3.15097782126992e-05,"Female",0.0315097782126992
