age,gender,country,date,deaths,nb_c,orphans
0-9,Female,Kenya,2020-07-27,29,0,0
0-9,Male,Kenya,2020-07-27,38,0,0
10-19,Female,Kenya,2020-07-27,0,0.11318149519388655,0
10-19,Male,Kenya,2020-07-27,19,0.006625252542811383,0
20-29,Female,Kenya,2020-07-27,10,1.5430598457091371,15
20-29,Male,Kenya,2020-07-27,67,0.6364176984797704,43
30-39,Female,Kenya,2020-07-27,96,3.1865253340641235,306
30-39,Male,Kenya,2020-07-27,191,2.788157136787793,533
40-49,Female,Kenya,2020-07-27,124,2.2836595339657,283
40-49,Male,Kenya,2020-07-27,392,3.6758126166089555,1441
50-59,Female,Kenya,2020-07-27,172,0.7489363590579434,129
50-59,Male,Kenya,2020-07-27,421,2.473707849456232,1041
60+,Female,Kenya,2020-07-27,258,0.018072802520387527,5
60+,Male,Kenya,2020-07-27,908,0.5678734761997682,516
