"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-9","Male",38,73,31
"2",2,"10-19","Male",19,36,15
"3",3,"20-29","Male",67,127,59
"4",4,"30-39","Male",191,364,178
"5",5,"40-49","Male",392,745,370
"6",6,"50-59","Male",421,800,336
"7",7,"60+","Male",908,1727,816
"8",8,"0-9","Female",29,55,20
"9",9,"10-19","Female",0,0,0
"10",10,"20-29","Female",10,18,5
"11",11,"30-39","Female",96,182,91
"12",12,"40-49","Female",124,236,101
"13",13,"50-59","Female",172,327,134
"14",14,"60+","Female",258,491,252
