country,date,age,gender,deaths
Kenya,2020-07-27,0-9,Male,38
Kenya,2020-07-27,10-19,Male,19
Kenya,2020-07-27,20-29,Male,67
Kenya,2020-07-27,30-39,Male,191
Kenya,2020-07-27,40-49,Male,392
Kenya,2020-07-27,50-59,Male,421
Kenya,2020-07-27,60+,Male,908
Kenya,2020-07-27,0-9,Female,29
Kenya,2020-07-27,10-19,Female,0
Kenya,2020-07-27,20-29,Female,10
Kenya,2020-07-27,30-39,Female,96
Kenya,2020-07-27,40-49,Female,124
Kenya,2020-07-27,50-59,Female,172
Kenya,2020-07-27,60+,Female,258
