age,gender,COVID19_deaths,nb_orphans
0-19,Female,29,0
0-19,Male,57,0
20-49,Female,230,604
20-49,Male,650,2017
50-59,Female,172,129
50-59,Male,421,1041
60+,Female,258,5
60+,Male,908,516
