"","country","date","age","gender","deaths"
"1","Kenya","2020-07-27","0-9","Male",59
"2","Kenya","2020-07-27","10-19","Male",36
"3","Kenya","2020-07-27","20-29","Male",120
"4","Kenya","2020-07-27","30-39","Male",376
"5","Kenya","2020-07-27","40-49","Male",718
"6","Kenya","2020-07-27","50-59","Male",775
"7","Kenya","2020-07-27","60+","Male",1652
"8","Kenya","2020-07-27","0-9","Female",58
"9","Kenya","2020-07-27","10-19","Female",0
"10","Kenya","2020-07-27","20-29","Female",17
"11","Kenya","2020-07-27","30-39","Female",167
"12","Kenya","2020-07-27","40-49","Female",223
"13","Kenya","2020-07-27","50-59","Female",346
"14","Kenya","2020-07-27","60+","Female",500
