"Period","age","fertility_rate","country","gender","date"
"2000-2005","15-19",10.17,"Spain","Female","2003"
"2000-2005","15-19",10.17,"Spain","Female","2004"
"2005-2010","15-19",12.74,"Spain","Female","2005"
"2005-2010","15-19",12.74,"Spain","Female","2006"
"2005-2010","15-19",12.74,"Spain","Female","2007"
"2005-2010","15-19",12.74,"Spain","Female","2008"
"2005-2010","15-19",12.74,"Spain","Female","2009"
"2010-2015","15-19",8.972,"Spain","Female","2010"
"2010-2015","15-19",8.972,"Spain","Female","2011"
"2010-2015","15-19",8.972,"Spain","Female","2012"
"2010-2015","15-19",8.972,"Spain","Female","2013"
"2010-2015","15-19",8.972,"Spain","Female","2014"
"2015-2020","15-19",7.725,"Spain","Female","2015"
"2015-2020","15-19",7.725,"Spain","Female","2016"
"2015-2020","15-19",7.725,"Spain","Female","2017"
"2015-2020","15-19",7.725,"Spain","Female","2018"
"2015-2020","15-19",7.725,"Spain","Female","2019"
"2000-2005","20-24",28.4,"Spain","Female","2003"
"2000-2005","20-24",28.4,"Spain","Female","2004"
"2005-2010","20-24",36.047,"Spain","Female","2005"
"2005-2010","20-24",36.047,"Spain","Female","2006"
"2005-2010","20-24",36.047,"Spain","Female","2007"
"2005-2010","20-24",36.047,"Spain","Female","2008"
"2005-2010","20-24",36.047,"Spain","Female","2009"
"2010-2015","20-24",29.257,"Spain","Female","2010"
"2010-2015","20-24",29.257,"Spain","Female","2011"
"2010-2015","20-24",29.257,"Spain","Female","2012"
"2010-2015","20-24",29.257,"Spain","Female","2013"
"2010-2015","20-24",29.257,"Spain","Female","2014"
"2015-2020","20-24",25.586,"Spain","Female","2015"
"2015-2020","20-24",25.586,"Spain","Female","2016"
"2015-2020","20-24",25.586,"Spain","Female","2017"
"2015-2020","20-24",25.586,"Spain","Female","2018"
"2015-2020","20-24",25.586,"Spain","Female","2019"
"2000-2005","25-29",64.45,"Spain","Female","2003"
"2000-2005","25-29",64.45,"Spain","Female","2004"
"2005-2010","25-29",67.093,"Spain","Female","2005"
"2005-2010","25-29",67.093,"Spain","Female","2006"
"2005-2010","25-29",67.093,"Spain","Female","2007"
"2005-2010","25-29",67.093,"Spain","Female","2008"
"2005-2010","25-29",67.093,"Spain","Female","2009"
"2010-2015","25-29",57.794,"Spain","Female","2010"
"2010-2015","25-29",57.794,"Spain","Female","2011"
"2010-2015","25-29",57.794,"Spain","Female","2012"
"2010-2015","25-29",57.794,"Spain","Female","2013"
"2010-2015","25-29",57.794,"Spain","Female","2014"
"2015-2020","25-29",54.937,"Spain","Female","2015"
"2015-2020","25-29",54.937,"Spain","Female","2016"
"2015-2020","25-29",54.937,"Spain","Female","2017"
"2015-2020","25-29",54.937,"Spain","Female","2018"
"2015-2020","25-29",54.937,"Spain","Female","2019"
"2000-2005","30-34",96.213,"Spain","Female","2003"
"2000-2005","30-34",96.213,"Spain","Female","2004"
"2005-2010","30-34",102.043,"Spain","Female","2005"
"2005-2010","30-34",102.043,"Spain","Female","2006"
"2005-2010","30-34",102.043,"Spain","Female","2007"
"2005-2010","30-34",102.043,"Spain","Female","2008"
"2005-2010","30-34",102.043,"Spain","Female","2009"
"2010-2015","30-34",91.512,"Spain","Female","2010"
"2010-2015","30-34",91.512,"Spain","Female","2011"
"2010-2015","30-34",91.512,"Spain","Female","2012"
"2010-2015","30-34",91.512,"Spain","Female","2013"
"2010-2015","30-34",91.512,"Spain","Female","2014"
"2015-2020","30-34",90.275,"Spain","Female","2015"
"2015-2020","30-34",90.275,"Spain","Female","2016"
"2015-2020","30-34",90.275,"Spain","Female","2017"
"2015-2020","30-34",90.275,"Spain","Female","2018"
"2015-2020","30-34",90.275,"Spain","Female","2019"
"2000-2005","35-39",47.904,"Spain","Female","2003"
"2000-2005","35-39",47.904,"Spain","Female","2004"
"2005-2010","35-39",60.826,"Spain","Female","2005"
"2005-2010","35-39",60.826,"Spain","Female","2006"
"2005-2010","35-39",60.826,"Spain","Female","2007"
"2005-2010","35-39",60.826,"Spain","Female","2008"
"2005-2010","35-39",60.826,"Spain","Female","2009"
"2010-2015","35-39",62.586,"Spain","Female","2010"
"2010-2015","35-39",62.586,"Spain","Female","2011"
"2010-2015","35-39",62.586,"Spain","Female","2012"
"2010-2015","35-39",62.586,"Spain","Female","2013"
"2010-2015","35-39",62.586,"Spain","Female","2014"
"2015-2020","35-39",68.745,"Spain","Female","2015"
"2015-2020","35-39",68.745,"Spain","Female","2016"
"2015-2020","35-39",68.745,"Spain","Female","2017"
"2015-2020","35-39",68.745,"Spain","Female","2018"
"2015-2020","35-39",68.745,"Spain","Female","2019"
"2000-2005","40-44",7.927,"Spain","Female","2003"
"2000-2005","40-44",7.927,"Spain","Female","2004"
"2005-2010","40-44",11.286,"Spain","Female","2005"
"2005-2010","40-44",11.286,"Spain","Female","2006"
"2005-2010","40-44",11.286,"Spain","Female","2007"
"2005-2010","40-44",11.286,"Spain","Female","2008"
"2005-2010","40-44",11.286,"Spain","Female","2009"
"2010-2015","40-44",14.021,"Spain","Female","2010"
"2010-2015","40-44",14.021,"Spain","Female","2011"
"2010-2015","40-44",14.021,"Spain","Female","2012"
"2010-2015","40-44",14.021,"Spain","Female","2013"
"2010-2015","40-44",14.021,"Spain","Female","2014"
"2015-2020","40-44",17.476,"Spain","Female","2015"
"2015-2020","40-44",17.476,"Spain","Female","2016"
"2015-2020","40-44",17.476,"Spain","Female","2017"
"2015-2020","40-44",17.476,"Spain","Female","2018"
"2015-2020","40-44",17.476,"Spain","Female","2019"
"2000-2005","45-49",0.396,"Spain","Female","2003"
"2000-2005","45-49",0.396,"Spain","Female","2004"
"2005-2010","45-49",0.765,"Spain","Female","2005"
"2005-2010","45-49",0.765,"Spain","Female","2006"
"2005-2010","45-49",0.765,"Spain","Female","2007"
"2005-2010","45-49",0.765,"Spain","Female","2008"
"2005-2010","45-49",0.765,"Spain","Female","2009"
"2010-2015","45-49",0.898,"Spain","Female","2010"
"2010-2015","45-49",0.898,"Spain","Female","2011"
"2010-2015","45-49",0.898,"Spain","Female","2012"
"2010-2015","45-49",0.898,"Spain","Female","2013"
"2010-2015","45-49",0.898,"Spain","Female","2014"
"2015-2020","45-49",1.256,"Spain","Female","2015"
"2015-2020","45-49",1.256,"Spain","Female","2016"
"2015-2020","45-49",1.256,"Spain","Female","2017"
"2015-2020","45-49",1.256,"Spain","Female","2018"
"2015-2020","45-49",1.256,"Spain","Female","2019"
