"","age","gender","deaths.x","deaths.y","deaths"
"1","0-9","Male",8,12,4
"2","10-19","Male",8,11,3
"3","20-29","Male",51,71,20
"4","30-39","Male",126,168,42
"5","40-49","Male",509,626,117
"6","50-59","Male",1935,2318,383
"7","60-69","Male",6814,8387.4,1573.4
"8","70-79","Male",15237.8,16697.4,1459.6
"9","80+","Male",28691.2,29244,552.799999999999
"10","0-9","Female",4,4,0
"11","10-19","Female",14,27.8,13.8
"12","20-29","Female",40,52,12
"13","30-39","Female",84,121,37
"14","40-49","Female",269,336,67
"15","50-59","Female",1060.6,1158.2,97.5999999999999
"16","60-69","Female",3690.6,4690.4,999.8
"17","70-79","Female",8039.6,9039,999.4
"18","80+","Female",30680.8,33378.2,2697.4
