"age","gender","nb_excess","nb_covid","max_deaths","nb_orphans"
"0-19","Female",-178,13,32,0
"0-19","Male",-302,23,23,0
"20-49","Female",56,509,509,469
"20-49","Male",117,865,865,723
"50-69","Female",5849,3498,5849,281
"50-69","Male",10278,8489,10705,1243
"70+","Female",42417,35059,42417,0
"70+","Male",45941,38913,45941,92
