age,gender,covid_deaths,excess_deaths,deaths,child_age,nb_c,orphans
0-9,Male,12,-502,12,0,0,0
0-9,Male,12,-502,12,1,0,0
0-9,Male,12,-502,12,2,0,0
0-9,Male,12,-502,12,3,0,0
0-9,Male,12,-502,12,4,0,0
0-9,Male,12,-502,12,5,0,0
0-9,Male,12,-502,12,6,0,0
0-9,Male,12,-502,12,7,0,0
0-9,Male,12,-502,12,8,0,0
0-9,Male,12,-502,12,9,0,0
0-9,Male,12,-502,12,10,0,0
0-9,Male,12,-502,12,11,0,0
0-9,Male,12,-502,12,12,0,0
0-9,Male,12,-502,12,13,0,0
0-9,Male,12,-502,12,14,0,0
0-9,Male,12,-502,12,15,0,0
0-9,Male,12,-502,12,16,0,0
0-9,Male,12,-502,12,17,0,0
0-9,Female,4,-294.8,4,0,0,0
0-9,Female,4,-294.8,4,1,0,0
0-9,Female,4,-294.8,4,2,0,0
0-9,Female,4,-294.8,4,3,0,0
0-9,Female,4,-294.8,4,4,0,0
0-9,Female,4,-294.8,4,5,0,0
0-9,Female,4,-294.8,4,6,0,0
0-9,Female,4,-294.8,4,7,0,0
0-9,Female,4,-294.8,4,8,0,0
0-9,Female,4,-294.8,4,9,0,0
0-9,Female,4,-294.8,4,10,0,0
0-9,Female,4,-294.8,4,11,0,0
0-9,Female,4,-294.8,4,12,0,0
0-9,Female,4,-294.8,4,13,0,0
0-9,Female,4,-294.8,4,14,0,0
0-9,Female,4,-294.8,4,15,0,0
0-9,Female,4,-294.8,4,16,0,0
0-9,Female,4,-294.8,4,17,0,0
10-19,Male,11,17,17,0,8.85132375659215e-4,0
10-19,Male,11,17,17,1,7.08134566432672e-4,0
10-19,Male,11,17,17,2,5.311071849234389e-4,0
10-19,Male,11,17,17,3,3.54081237509768e-4,0
10-19,Male,11,17,17,4,1.8917880832246698e-4,0
10-19,Male,11,17,17,5,0,0
10-19,Male,11,17,17,6,0,0
10-19,Male,11,17,17,7,0,0
10-19,Male,11,17,17,8,0,0
10-19,Male,11,17,17,9,0,0
10-19,Male,11,17,17,10,0,0
10-19,Male,11,17,17,11,0,0
10-19,Male,11,17,17,12,0,0
10-19,Male,11,17,17,13,0,0
10-19,Male,11,17,17,14,0,0
10-19,Male,11,17,17,15,0,0
10-19,Male,11,17,17,16,0,0
10-19,Male,11,17,17,17,0,0
10-19,Female,9,57,57,0,0.003850854271356785,0
10-19,Female,9,57,57,1,0.003080808130887456,0
10-19,Female,9,57,57,2,0.002310633333333333,0
10-19,Female,9,57,57,3,0.001540464774951076,0
10-19,Female,9,57,57,4,7.70301233396584e-4,0
10-19,Female,9,57,57,5,0,0
10-19,Female,9,57,57,6,0,0
10-19,Female,9,57,57,7,0,0
10-19,Female,9,57,57,8,0,0
10-19,Female,9,57,57,9,0,0
10-19,Female,9,57,57,10,0,0
10-19,Female,9,57,57,11,0,0
10-19,Female,9,57,57,12,0,0
10-19,Female,9,57,57,13,0,0
10-19,Female,9,57,57,14,0,0
10-19,Female,9,57,57,15,0,0
10-19,Female,9,57,57,16,0,0
10-19,Female,9,57,57,17,0,0
20-29,Male,71,146.20000000000002,146.20000000000002,0,0.0220196380955723,3
20-29,Male,71,146.20000000000002,146.20000000000002,1,0.018848088436705768,3
20-29,Male,71,146.20000000000002,146.20000000000002,2,0.015675832136805175,2
20-29,Male,71,146.20000000000002,146.20000000000002,3,0.012503699067545742,2
20-29,Male,71,146.20000000000002,146.20000000000002,4,0.009853556408126208,1
20-29,Male,71,146.20000000000002,146.20000000000002,5,0.006591111467567495,1
20-29,Male,71,146.20000000000002,146.20000000000002,6,0.00602716620276131,1
20-29,Male,71,146.20000000000002,146.20000000000002,7,0.004777582208401755,1
20-29,Male,71,146.20000000000002,146.20000000000002,8,0.00380714077295497,1
20-29,Male,71,146.20000000000002,146.20000000000002,9,0.002488310446158715,0
20-29,Male,71,146.20000000000002,146.20000000000002,10,0.001256609937234655,0
20-29,Male,71,146.20000000000002,146.20000000000002,11,0.0011580901856763919,0
20-29,Male,71,146.20000000000002,146.20000000000002,12,8.685626588652809e-4,0
20-29,Male,71,146.20000000000002,146.20000000000002,13,6.64172539363578e-4,0
20-29,Male,71,146.20000000000002,146.20000000000002,14,3.32085243473079e-4,0
20-29,Male,71,146.20000000000002,146.20000000000002,15,0,0
20-29,Male,71,146.20000000000002,146.20000000000002,16,0,0
20-29,Male,71,146.20000000000002,146.20000000000002,17,0,0
20-29,Female,52,-6.599999999999994,52,0,0.04014010854271355,2
20-29,Female,52,-6.599999999999994,52,1,0.03543457773921664,2
20-29,Female,52,-6.599999999999994,52,2,0.030727784148148134,2
20-29,Female,52,-6.599999999999994,52,3,0.026021291682974554,1
20-29,Female,52,-6.599999999999994,52,4,0.021315855502846287,1
20-29,Female,52,-6.599999999999994,52,5,0.01664882177225339,1
20-29,Female,52,-6.599999999999994,52,6,0.016182195022439824,1
20-29,Female,52,-6.599999999999994,52,7,0.013257541282481135,1
20-29,Female,52,-6.599999999999994,52,8,0.010332948062015495,1
20-29,Female,52,-6.599999999999994,52,9,0.00740843349493169,0
20-29,Female,52,-6.599999999999994,52,10,0.0044839692168402,0
20-29,Female,52,-6.599999999999994,52,11,0.0050936666666666795,0
20-29,Female,52,-6.599999999999994,52,12,0.0038202280945757996,0
20-29,Female,52,-6.599999999999994,52,13,0.00254680711610486,0
20-29,Female,52,-6.599999999999994,52,14,0.00127339962299717,0
20-29,Female,52,-6.599999999999994,52,15,0,0
20-29,Female,52,-6.599999999999994,52,16,0,0
20-29,Female,52,-6.599999999999994,52,17,0,0
30-39,Male,168,-43.00000000000003,168,0,0.06948050634863734,12
30-39,Male,168,-43.00000000000003,168,1,0.06602425747642694,11
30-39,Male,168,-43.00000000000003,168,2,0.06256593331623198,11
30-39,Male,168,-43.00000000000003,168,3,0.05910846369772205,10
30-39,Male,168,-43.00000000000003,168,4,0.05759285568496109,10
30-39,Male,168,-43.00000000000003,168,5,0.05426155868942565,9
30-39,Male,168,-43.00000000000003,168,6,0.04673304366399034,8
30-39,Male,168,-43.00000000000003,168,7,0.04084776154880719,7
30-39,Male,168,-43.00000000000003,168,8,0.03674825651532568,6
30-39,Male,168,-43.00000000000003,168,9,0.03152369181445749,5
30-39,Male,168,-43.00000000000003,168,10,0.026704706199630147,4
30-39,Male,168,-43.00000000000003,168,11,0.02455458310679171,4
30-39,Male,168,-43.00000000000003,168,12,0.020826727886523393,3
30-39,Male,168,-43.00000000000003,168,13,0.018088998449073888,3
30-39,Male,168,-43.00000000000003,168,14,0.014163485765623016,2
30-39,Male,168,-43.00000000000003,168,15,0.010220809350577655,2
30-39,Male,168,-43.00000000000003,168,16,0.008508538131003161,1
30-39,Male,168,-43.00000000000003,168,17,0.00679615556106486,1
30-39,Female,121,18.399999999999995,121,0,0.07927027135678394,10
30-39,Female,121,18.399999999999995,121,1,0.07789678790282599,9
30-39,Female,121,18.399999999999995,121,2,0.07652099733333333,9
30-39,Female,121,18.399999999999995,121,3,0.07514636438356166,9
30-39,Female,121,18.399999999999995,121,4,0.07377621138519927,9
30-39,Female,121,18.399999999999995,121,5,0.07257688773055329,9
30-39,Female,121,18.399999999999995,121,6,0.06839958180334557,8
30-39,Female,121,18.399999999999995,121,7,0.062175930427493725,8
30-39,Female,121,18.399999999999995,121,8,0.05595239298018949,7
30-39,Female,121,18.399999999999995,121,9,0.04972907360070514,6
30-39,Female,121,18.399999999999995,121,10,0.043505796287913095,5
30-39,Female,121,18.399999999999995,121,11,0.04611357605311359,6
30-39,Female,121,18.399999999999995,121,12,0.04068053147890589,5
30-39,Female,121,18.399999999999995,121,13,0.03524759058988763,4
30-39,Female,121,18.399999999999995,121,14,0.02981474307257302,4
30-39,Female,121,18.399999999999995,121,15,0.024340995695221652,3
30-39,Female,121,18.399999999999995,121,16,0.01641030590717303,2
30-39,Female,121,18.399999999999995,121,17,0.01357694845360828,2
40-49,Male,626,90.20000000000014,626,0,0.020226588376656786,13
40-49,Male,626,90.20000000000014,626,1,0.026090828184676527,16
40-49,Male,626,90.20000000000014,626,2,0.031954625815075646,20
40-49,Male,626,90.20000000000014,626,3,0.037819160602498306,24
40-49,Male,626,90.20000000000014,626,4,0.044415016896462815,28
40-49,Male,626,90.20000000000014,626,5,0.0505452210122229,32
40-49,Male,626,90.20000000000014,626,6,0.05145003771137834,32
40-49,Male,626,90.20000000000014,626,7,0.0557410589185394,35
40-49,Male,626,90.20000000000014,626,8,0.0623240085889698,39
40-49,Male,626,90.20000000000014,626,9,0.06826853671853064,43
40-49,Male,626,90.20000000000014,626,10,0.07319879790058251,46
40-49,Male,626,90.20000000000014,626,11,0.07173595997134141,45
40-49,Male,626,90.20000000000014,626,12,0.06874207322041395,43
40-49,Male,626,90.20000000000014,626,13,0.06860487536183975,43
40-49,Male,626,90.20000000000014,626,14,0.06596039869400096,41
40-49,Male,626,90.20000000000014,626,15,0.06320964083468945,40
40-49,Male,626,90.20000000000014,626,16,0.05653314717772714,35
40-49,Male,626,90.20000000000014,626,17,0.04985634013180992,31
40-49,Female,336,61.39999999999999,336,0,0.009337760804020117,3
40-49,Female,336,61.39999999999999,336,1,0.016066962766484887,5
40-49,Female,336,61.39999999999999,336,2,0.022796055407407426,8
40-49,Female,336,61.39999999999999,336,3,0.029525774266144802,10
40-49,Female,336,61.39999999999999,336,4,0.036258103984819726,12
40-49,Female,336,61.39999999999999,336,5,0.04309321431435445,14
40-49,Female,336,61.39999999999999,336,6,0.04603381068951451,15
40-49,Female,336,61.39999999999999,336,7,0.05377915108968987,18
40-49,Female,336,61.39999999999999,336,8,0.06152429233419465,21
40-49,Female,336,61.39999999999999,336,9,0.0692693579550463,23
40-49,Female,336,61.39999999999999,336,10,0.07701412041647805,26
40-49,Female,336,61.39999999999999,336,11,0.0820236261904762,28
40-49,Female,336,61.39999999999999,336,12,0.08264956532220674,28
40-49,Female,336,61.39999999999999,336,13,0.08327559503745315,28
40-49,Female,336,61.39999999999999,336,14,0.08390174236569271,28
40-49,Female,336,61.39999999999999,336,15,0.08438597675419729,28
40-49,Female,336,61.39999999999999,336,16,0.07339503080168779,25
40-49,Female,336,61.39999999999999,336,17,0.0666312321649485,22
50-59,Male,2318,3175.6,3175.6,0,0.001666512787452996,5
50-59,Male,2318,3175.6,3175.6,1,0.0025356868417834217,8
50-59,Male,2318,3175.6,3175.6,2,0.0034048831763068515,11
50-59,Male,2318,3175.6,3175.6,3,0.0042741466954497025,14
50-59,Male,2318,3175.6,3175.6,4,0.0050050838219385715,16
50-59,Male,2318,3175.6,3175.6,5,0.00586890881559923,19
50-59,Male,2318,3175.6,3175.6,6,0.007797539327519364,25
50-59,Male,2318,3175.6,3175.6,7,0.010405736739450678,33
50-59,Male,2318,3175.6,3175.6,8,0.013228597670254147,42
50-59,Male,2318,3175.6,3175.6,9,0.015394823440461784,49
50-59,Male,2318,3175.6,3175.6,10,0.018192697765315045,58
50-59,Male,2318,3175.6,3175.6,11,0.02413896903107818,77
50-59,Male,2318,3175.6,3175.6,12,0.030338547402348353,96
50-59,Male,2318,3175.6,3175.6,13,0.03515672062431208,112
50-59,Male,2318,3175.6,3175.6,14,0.04129747750285631,131
50-59,Male,2318,3175.6,3175.6,15,0.04735855513382845,150
50-59,Male,2318,3175.6,3175.6,16,0.05317086384709487,169
50-59,Male,2318,3175.6,3175.6,17,0.05898397487698521,187
50-59,Female,1020,2064.3999999999996,2064.3999999999996,0,0,0
50-59,Female,1020,2064.3999999999996,2064.3999999999996,1,1.2522637580565202e-4,0
50-59,Female,1020,2064.3999999999996,2064.3999999999996,2,2.50455703703704e-4,1
50-59,Female,1020,2064.3999999999996,2064.3999999999996,3,3.75693933463797e-4,1
50-59,Female,1020,2064.3999999999996,2064.3999999999996,4,5.009700189753319e-4,1
50-59,Female,1020,2064.3999999999996,2064.3999999999996,5,6.27748195669605e-4,1
50-59,Female,1020,2064.3999999999996,2064.3999999999996,6,0.0018503447572419446,4
50-59,Female,1020,2064.3999999999996,2064.3999999999996,7,0.003251836546521379,7
50-59,Female,1020,2064.3999999999996,2064.3999999999996,8,0.004653295133505599,10
50-59,Female,1020,2064.3999999999996,2064.3999999999996,9,0.00605473036579993,12
50-59,Female,1020,2064.3999999999996,2064.3999999999996,10,0.00745612313263921,15
50-59,Female,1020,2064.3999999999996,2064.3999999999996,11,0.01202609102564102,25
50-59,Female,1020,2064.3999999999996,2064.3999999999996,12,0.018029337598516434,37
50-59,Female,1020,2064.3999999999996,2064.3999999999996,13,0.024032543539325827,50
50-59,Female,1020,2064.3999999999996,2064.3999999999996,14,0.030035738878416568,62
50-59,Female,1020,2064.3999999999996,2064.3999999999996,15,0.035978393456737,74
50-59,Female,1020,2064.3999999999996,2064.3999999999996,16,0.03666658080168779,76
50-59,Female,1020,2064.3999999999996,2064.3999999999996,17,0.045478735670103104,94
60-69,Male,6171,13678,13678,0,1.6147664342690024e-4,2
60-69,Male,6171,13678,13678,1,2.338168962448984e-4,3
60-69,Male,6171,13678,13678,2,3.0615714906289656e-4,4
60-69,Male,6171,13678,13678,3,3.784974018808947e-4,5
60-69,Male,6171,13678,13678,4,4.327463111946101e-4,6
60-69,Male,6171,13678,13678,5,5.02868648465465e-4,7
60-69,Male,6171,13678,13678,6,7.124394524238417e-4,10
