"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-9","Male",8,12,6
"2",2,"10-19","Male",8,17,9
"3",3,"20-29","Male",51,146.2,89
"4",4,"30-39","Male",126,167,37
"5",5,"40-49","Male",509,622,111
"6",6,"50-59","Male",1935,3175.6,1260
"7",7,"60-69","Male",6814,13678,6946
"8",8,"70-79","Male",15237.8,27756.6,12667
"9",9,"80+","Male",28691.2,48591.8,20086
"10",10,"0-9","Female",4,4,0
"11",11,"10-19","Female",14,57,36
"12",12,"20-29","Female",40,49,4
"13",13,"30-39","Female",84,118,45
"14",14,"40-49","Female",269,331,55
"15",15,"50-59","Female",1060.6,2064.4,968
"16",16,"60-69","Female",3690.6,7821.6,4173
"17",17,"70-79","Female",8039.6,15184.6,7168
"18",18,"80+","Female",30680.8,59829.8,29221
