children,gender,age
0,male,1
0,male,2
0,male,3
0,male,4
0,male,5
0,male,6
0,male,7
0,male,8
0,male,9
0,male,10
0,male,11
0,male,12
0,male,13
0,male,14
0.00174736580428645,male,15
0.003494802346329263,male,16
0.00524225948544718,male,17
0.0069897648964406586,male,18
0.008931498288022815,male,19
0.0196679913639423,male,20
0.030620374293541947,male,21
0.041572836795029024,male,22
0.052541446471801076,male,23
0.06400364876276066,male,24
0.09915051785410038,male,25
0.13586660757977595,male,26
0.17258283751859121,male,27
0.21029453433717485,male,28
0.2486562389764455,male,29
0.32494379127405365,male,30
0.40014535398241385,male,31
0.47534719571268463,male,32
0.5489804311870663,male,33
0.6245057782531426,male,34
0.6975188005144715,male,35
0.7697122115352041,male,36
0.8419057049707469,male,37
0.9027015532463222,male,38
0.9621312540057982,male,39
0.9847587403870197,male,40
1.00618100458911,male,41
1.027603882590589,male,42
1.026911879642444,male,43
1.026628054959297,male,44
1.0021898910852776,male,45
0.9762598759269302,male,46
0.9503320854037138,male,47
0.8737694086507287,male,48
0.7968863927604614,male,49
0.7108685157630464,male,50
0.625691728388768,male,51
0.5405145546011833,male,52
0.4695735792461577,male,53
0.3938753130486279,male,54
0.3222274127855455,male,55
0.2522670324909093,male,56
0.1823047973550414,male,57
0.1565416831855745,male,58
0.13331394343192088,male,59
0.1070153905783988,male,60
0.08107197860266563,male,61
0.05512773070395292,male,62
0.047733590484619254,male,63
0.04062206859349436,male,64
0.03306937334502553,male,65
0.02549233280442773,male,66
0.017914929188004577,male,67
0.015557942494809594,male,68
0.013157250835210193,male,69
0.010748423530946937,male,70
0.008295953438250153,male,71
0.005843483345553369,male,72
0.005013370576930563,male,73
0.00420672258002748,male,74
0.0033560956702867136,male,75
0.0025038220776104855,male,76
0.0016515484849342578,male,77
0.0014290686001796813,male,78
0.0012065887154251048,male,79
9.841088306705283e-4,male,80
7.616289459159518e-4,male,81
5.391490611613754e-4,male,82
5.391490611613754e-4,male,83
5.391490611613754e-4,male,84
5.391490611613754e-4,male,85
5.391490611613754e-4,male,86
5.391490611613754e-4,male,87
5.391490611613754e-4,male,88
5.391490611613754e-4,male,89
5.391490611613754e-4,male,90
5.391490611613754e-4,male,91
5.391490611613754e-4,male,92
5.391490611613754e-4,male,93
5.391490611613754e-4,male,94
5.391490611613754e-4,male,95
5.391490611613754e-4,male,96
5.391490611613754e-4,male,97
5.391490611613754e-4,male,98
5.391490611613754e-4,male,99
5.391490611613754e-4,male,100
