"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",12,0,15,0,15
"2","10-19","Male",10,17,15,15,14
"3","20-29","Male",71,146.2,159,159,69
"4","30-39","Male",167,0,163,0,163
"5","40-49","Male",622,90.2000000000001,601,108,601
"6","50-59","Male",2288,3175.6,3065,3065,2267
"7","60-69","Male",6116,13678,13849,13849,6107
"8","70-79","Male",12542,27756.6,27952,27952,12587
"9","80+","Male",26138,48591.8,48716,48716,26101
"10","0-9","Female",4,0,5,0,5
"11","10-19","Female",9,57,63,63,2
"12","20-29","Female",49,0,51,0,51
"13","30-39","Female",118,18.4,124,16,124
"14","40-49","Female",331,61.4,351,53,351
"15","50-59","Female",1015,2064.4,2061,2061,1040
"16","60-69","Female",2451,7821.6,7769,7769,2433
"17","70-79","Female",6353,15184.6,15225,15225,6425
"18","80+","Female",28481,59829.8,59650,59650,28551
