age,gender,covid_deaths,excess_deaths,deaths
0-9,Male,12,-502,12
10-19,Male,10,17,17
20-29,Male,72,146.20000000000002,146.20000000000002
30-39,Male,168,-43.00000000000003,168
40-49,Male,626,90.20000000000014,626
50-59,Male,2304,3175.6,3175.6
60-69,Male,6157,13678,13678
70-79,Male,12627,27756.6,27756.6
80+,Male,26316,48591.799999999996,48591.799999999996
0-9,Female,4,-294.8,4
10-19,Female,9,57,57
20-29,Female,50,-6.599999999999994,50
30-39,Female,118,18.399999999999995,118
40-49,Female,333,61.39999999999999,333
50-59,Female,1022,2064.3999999999996,2064.3999999999996
60-69,Female,2468,7821.6,7821.6
70-79,Female,6396,15184.6,15184.6
80+,Female,28675,59829.8,59829.8
