age,gender,excess_deaths,covid_deaths,deaths
0-14,Female,-4045.4,79,79
0-14,Male,-5098.4,99,99
15-24,Female,2744.2,451,2744.2
15-24,Male,9038.6,680,9038.6
25-34,Female,10453.4,1812,10453.4
25-34,Male,29526.4,3088,29526.4
35-44,Female,19309.2,4457,19309.2
35-44,Male,47672,7937,47672
45-54,Female,12406.2,11433,12406.2
45-54,Male,41193.4,21865,41193.4
55-64,Female,53735,29845,53735
55-64,Male,103418.8,51127,103418.8
65-74,Female,126449.4,54726,126449.4
65-74,Male,197663.6,84621,197663.6
75-84,Female,141919.6,74178,141919.6
75-84,Male,181422.4,95320,181422.4
85+,Female,113352.8,104468,113352.8
85+,Male,105540,77704,105540
