"year","age","gender","country","value","pop","fertility_rate"
"2003","15-19","Male","United States of America",142862,11312,12.629243281471
"2003","20-24","Male","United States of America",615796,10893,56.5313504085192
"2003","25-29","Male","United States of America",960144,10206,94.0764256319812
"2003","30-34","Male","United States of America",948291,9798,96.7841396203307
"2003","35-39","Male","United States of America",616630,10135,60.8416378885052
"2003","40-44","Male","United States of America",250629,10909,22.9745164543038
"2003","45-49","Male","United States of America",84963,11334,7.49629433562732
"2003","50-54","Male","United States of America",24459,10574,2.31312653678835
"2003","55+","Male","United States of America",10308,32804,0.31422997195464
"2004","15-19","Male","United States of America",142862,11312,12.629243281471
"2004","20-24","Male","United States of America",615796,10893,56.5313504085192
"2004","25-29","Male","United States of America",960144,10206,94.0764256319812
"2004","30-34","Male","United States of America",948291,9798,96.7841396203307
"2004","35-39","Male","United States of America",616630,10135,60.8416378885052
"2004","40-44","Male","United States of America",250629,10909,22.9745164543038
"2004","45-49","Male","United States of America",84963,11334,7.49629433562732
"2004","50-54","Male","United States of America",24459,10574,2.31312653678835
"2004","55+","Male","United States of America",10308,32804,0.31422997195464
"2005","15-19","Male","United States of America",142862,11312,12.629243281471
"2005","20-24","Male","United States of America",615796,10893,56.5313504085192
"2005","25-29","Male","United States of America",960144,10206,94.0764256319812
"2005","30-34","Male","United States of America",948291,9798,96.7841396203307
"2005","35-39","Male","United States of America",616630,10135,60.8416378885052
"2005","40-44","Male","United States of America",250629,10909,22.9745164543038
"2005","45-49","Male","United States of America",84963,11334,7.49629433562732
"2005","50-54","Male","United States of America",24459,10574,2.31312653678835
"2005","55+","Male","United States of America",10308,32804,0.31422997195464
"2006","15-19","Male","United States of America",142862,11312,12.629243281471
"2006","20-24","Male","United States of America",615796,10893,56.5313504085192
"2006","25-29","Male","United States of America",960144,10206,94.0764256319812
"2006","30-34","Male","United States of America",948291,9798,96.7841396203307
"2006","35-39","Male","United States of America",616630,10135,60.8416378885052
"2006","40-44","Male","United States of America",250629,10909,22.9745164543038
"2006","45-49","Male","United States of America",84963,11334,7.49629433562732
"2006","50-54","Male","United States of America",24459,10574,2.31312653678835
"2006","55+","Male","United States of America",10308,32804,0.31422997195464
"2007","15-19","Male","United States of America",142862,11312,12.629243281471
"2007","20-24","Male","United States of America",615796,10893,56.5313504085192
"2007","25-29","Male","United States of America",960144,10206,94.0764256319812
"2007","30-34","Male","United States of America",948291,9798,96.7841396203307
"2007","35-39","Male","United States of America",616630,10135,60.8416378885052
"2007","40-44","Male","United States of America",250629,10909,22.9745164543038
"2007","45-49","Male","United States of America",84963,11334,7.49629433562732
"2007","50-54","Male","United States of America",24459,10574,2.31312653678835
"2007","55+","Male","United States of America",10308,32804,0.31422997195464
"2008","15-19","Male","United States of America",142862,11312,12.629243281471
"2008","20-24","Male","United States of America",615796,10893,56.5313504085192
"2008","25-29","Male","United States of America",960144,10206,94.0764256319812
"2008","30-34","Male","United States of America",948291,9798,96.7841396203307
"2008","35-39","Male","United States of America",616630,10135,60.8416378885052
"2008","40-44","Male","United States of America",250629,10909,22.9745164543038
