gender,age,deaths,child_age,nb_c,orphans
Female,0-4,0,0,0,0
Female,0-4,0,1,0,0
Female,0-4,0,2,0,0
Female,0-4,0,3,0,0
Female,0-4,0,4,0,0
Female,0-4,0,5,0,0
Female,0-4,0,6,0,0
Female,0-4,0,7,0,0
Female,0-4,0,8,0,0
Female,0-4,0,9,0,0
Female,0-4,0,10,0,0
Female,0-4,0,11,0,0
Female,0-4,0,12,0,0
Female,0-4,0,13,0,0
Female,0-4,0,14,0,0
Female,0-4,0,15,0,0
Female,0-4,0,16,0,0
Female,0-4,0,17,0,0
Male,0-4,0,0,0,0
Male,0-4,0,1,0,0
Male,0-4,0,2,0,0
Male,0-4,0,3,0,0
Male,0-4,0,4,0,0
Male,0-4,0,5,0,0
Male,0-4,0,6,0,0
Male,0-4,0,7,0,0
Male,0-4,0,8,0,0
Male,0-4,0,9,0,0
Male,0-4,0,10,0,0
Male,0-4,0,11,0,0
Male,0-4,0,12,0,0
Male,0-4,0,13,0,0
Male,0-4,0,14,0,0
Male,0-4,0,15,0,0
Male,0-4,0,16,0,0
Male,0-4,0,17,0,0
Female,10-14,101,0,0,0
Female,10-14,101,1,0,0
Female,10-14,101,2,0,0
Female,10-14,101,3,0,0
Female,10-14,101,4,0,0
Female,10-14,101,5,0,0
Female,10-14,101,6,0,0
Female,10-14,101,7,0,0
Female,10-14,101,8,0,0
Female,10-14,101,9,0,0
Female,10-14,101,10,0,0
Female,10-14,101,11,0,0
Female,10-14,101,12,0,0
Female,10-14,101,13,0,0
Female,10-14,101,14,0,0
Female,10-14,101,15,0,0
Female,10-14,101,16,0,0
Female,10-14,101,17,0,0
Male,10-14,112,0,0,0
Male,10-14,112,1,0,0
Male,10-14,112,2,0,0
Male,10-14,112,3,0,0
Male,10-14,112,4,0,0
Male,10-14,112,5,0,0
Male,10-14,112,6,0,0
Male,10-14,112,7,0,0
Male,10-14,112,8,0,0
Male,10-14,112,9,0,0
Male,10-14,112,10,0,0
Male,10-14,112,11,0,0
Male,10-14,112,12,0,0
Male,10-14,112,13,0,0
Male,10-14,112,14,0,0
Male,10-14,112,15,0,0
Male,10-14,112,16,0,0
Male,10-14,112,17,0,0
Female,100+,0,0,0,0
Female,100+,0,1,0,0
Female,100+,0,2,0,0
Female,100+,0,3,0,0
Female,100+,0,4,0,0
Female,100+,0,5,0,0
Female,100+,0,6,0,0
Female,100+,0,7,0,0
Female,100+,0,8,0,0
Female,100+,0,9,0,0
Female,100+,0,10,0,0
Female,100+,0,11,0,0
Female,100+,0,12,0,0
Female,100+,0,13,0,0
Female,100+,0,14,0,0
Female,100+,0,15,0,0
Female,100+,0,16,0,0
Female,100+,0,17,0,0
Male,100+,0,0,1.27937892162076e-4,0
Male,100+,0,1,1.27937892162076e-4,0
Male,100+,0,2,1.27937892162076e-4,0
Male,100+,0,3,1.27937892162076e-4,0
Male,100+,0,4,1.27937892162076e-4,0
Male,100+,0,5,1.27937892162076e-4,0
Male,100+,0,6,1.27937892162076e-4,0
Male,100+,0,7,1.27937892162076e-4,0
Male,100+,0,8,1.27937892162076e-4,0
Male,100+,0,9,1.14160743575724e-4,0
Male,100+,0,10,1.14160743575724e-4,0
Male,100+,0,11,1.14160743575724e-4,0
Male,100+,0,12,1.14160743575724e-4,0
Male,100+,0,13,1.14160743575724e-4,0
Male,100+,0,14,1.14160743575724e-4,0
Male,100+,0,15,1.14160743575724e-4,0
Male,100+,0,16,1.14160743575724e-4,0
Male,100+,0,17,1.14160743575724e-4,0
Female,15-19,174,0,0.0205796202025865,4
Female,15-19,174,1,0.016463696162069198,3
Female,15-19,174,2,0.01234132583389002,2
Female,15-19,174,3,0.00822260571894176,1
Female,15-19,174,4,0.00410856472708798,1
Female,15-19,174,5,0,0
Female,15-19,174,6,0,0
Female,15-19,174,7,0,0
Female,15-19,174,8,0,0
Female,15-19,174,9,0,0
Female,15-19,174,10,0,0
Female,15-19,174,11,0,0
Female,15-19,174,12,0,0
Female,15-19,174,13,0,0
Female,15-19,174,14,0,0
Female,15-19,174,15,0,0
Female,15-19,174,16,0,0
Female,15-19,174,17,0,0
Male,15-19,195,0,0.00324553204972281,1
Male,15-19,195,1,0.002596425639778248,1
Male,15-19,195,2,0.001946302610819226,0
Male,15-19,195,3,0.0012967552428254001,0
Male,15-19,195,4,6.479458011790119e-4,0
Male,15-19,195,5,0,0
Male,15-19,195,6,0,0
Male,15-19,195,7,0,0
Male,15-19,195,8,0,0
Male,15-19,195,9,0,0
Male,15-19,195,10,0,0
Male,15-19,195,11,0,0
Male,15-19,195,12,0,0
Male,15-19,195,13,0,0
Male,15-19,195,14,0,0
Male,15-19,195,15,0,0
Male,15-19,195,16,0,0
Male,15-19,195,17,0,0
Female,20-24,244,0,0.0849929664543364,21
Female,20-24,244,1,0.07211029720398643,18
Female,20-24,244,2,0.05919670753142904,14
Female,20-24,244,3,0.04629292459316964,11
Female,20-24,244,4,0.03340245854407554,8
Female,20-24,244,5,0.0206757088130046,5
Female,20-24,244,6,0.02111092640141016,5
Female,20-24,244,7,0.01583226463878318,4
Female,20-24,244,8,0.01055421516118156,3
Female,20-24,244,9,0.005276781337695,1
Female,20-24,244,10,0,0
Female,20-24,244,11,0,0
Female,20-24,244,12,0,0
Female,20-24,244,13,0,0
Female,20-24,244,14,0,0
Female,20-24,244,15,0,0
Female,20-24,244,16,0,0
Female,20-24,244,17,0,0
Male,20-24,273,0,0.0440747283013573,12
Male,20-24,273,1,0.0359088890510304,10
Male,20-24,273,2,0.027728566242222485,8
Male,20-24,273,3,0.01955523010723758,5
Male,20-24,273,4,0.011390967653814088,3
Male,20-24,273,5,0.0032606858116317,1
Male,20-24,273,6,0.0026083891769672638,1
Male,20-24,273,7,0.001956176955262608,1
Male,20-24,273,8,0.001304040385265656,0
Male,20-24,273,9,6.51597299536224e-4,0
Male,20-24,273,10,0,0
Male,20-24,273,11,0,0
Male,20-24,273,12,0,0
Male,20-24,273,13,0,0
Male,20-24,273,14,0,0
Male,20-24,273,15,0,0
Male,20-24,273,16,0,0
Male,20-24,273,17,0,0
Female,25-29,443,0,0.115042651994844,51
Female,25-29,443,1,0.10903271488674247,48
Female,25-29,443,2,0.10296899362594145,46
Female,25-29,443,3,0.0969039188595067,43
Female,25-29,443,4,0.09084018945894608,40
Female,25-29,443,5,0.0853898083766614,38
Female,25-29,443,6,0.07675363915268191,34
Female,25-29,443,7,0.06415862447797982,28
Female,25-29,443,8,0.05156505099244806,23
Female,25-29,443,9,0.03897288490559282,17
Female,25-29,443,10,0.0263770017283024,12
Female,25-29,443,11,0.02367444799572432,10
Female,25-29,443,12,0.01775460171783894,8
Female,25-29,443,13,0.01183536869018452,5
Female,25-29,443,14,0.00591708933022138,3
Female,25-29,443,15,0,0
Female,25-29,443,16,0,0
Female,25-29,443,17,0,0
Male,25-29,494,0,0.0883587245681313,44
Male,25-29,494,1,0.07950192531477651,39
Male,25-29,494,2,0.07060824501113849,35
Male,25-29,494,3,0.06171895355386574,30
Male,25-29,494,4,0.052836885453027754,26
Male,25-29,494,5,0.0442805182700421,22
Male,25-29,494,6,0.03607434625611909,18
Male,25-29,494,7,0.027869243962364634,14
Male,25-29,494,8,0.019665090959986323,10
Male,25-29,494,9,0.011165801482704915,6
Male,25-29,494,10,0.00325713384658305,2
Male,25-29,494,11,0.002605557721335968,1
Male,25-29,494,12,0.00195403244897262,1
Male,25-29,494,13,0.001302574669582056,1
Male,25-29,494,14,6.51221848761898e-4,0
Male,25-29,494,15,0,0
Male,25-29,494,16,0,0
Male,25-29,494,17,0,0
Female,30-34,926,0,0.0879249583369117,81
Female,30-34,926,1,0.09334849706849817,86
Female,30-34,926,2,0.0987204707930982,91
Female,30-34,926,3,0.10407858825850204,96
Female,30-34,926,4,0.1094231131902717,101
Female,30-34,926,5,0.115579799350344,107
Female,30-34,926,6,0.10258835507542234,95
Female,30-34,926,7,0.0992716551020508,92
Female,30-34,926,8,0.09595527301432838,89
Female,30-34,926,9,0.09263906930665149,86
Female,30-34,926,10,0.0893054194397569,83
Female,30-34,926,11,0.07675027945137491,71
Female,30-34,926,12,0.06495645889084613,60
Female,30-34,926,13,0.05316333585967962,49
Female,30-34,926,14,0.04137171850592092,38
Female,30-34,926,15,0.0294703556870113,27
Female,30-34,926,16,0.02195952275775656,20
Female,30-34,926,17,0.016466634105771958,15
Male,30-34,1035,0,0.0766167620474824,79
Male,30-34,1035,1,0.07896515455161218,82
Male,30-34,1035,2,0.0812710964411722,84
Male,30-34,1035,3,0.08356800756171165,86
Male,30-34,1035,4,0.08585654472837838,89
Male,30-34,1035,5,0.088771281601667,92
Male,30-34,1035,6,0.07986824593090748,83
Male,30-34,1035,7,0.0709664678938017,73
Male,30-34,1035,8,0.06206568927781296,64
Male,30-34,1035,9,0.050966484820940156,53
Male,30-34,1035,10,0.0427858609585127,44
Male,30-34,1035,11,0.034878116250728876,36
Male,30-34,1035,12,0.02697094898742644,28
Male,30-34,1035,13,0.019064543151015204,20
Male,30-34,1035,14,0.011159367740859112,12
Male,30-34,1035,15,0.00324344258521582,3
Male,30-34,1035,16,0.0025944917590528397,3
Male,30-34,1035,17,0.001945513432056408,2
Female,35-39,1320,0,0.043614000648672,58
Female,35-39,1320,1,0.05247619218631994,69
Female,35-39,1320,2,0.061306361358936676,81
Female,35-39,1320,3,0.07012175709960573,93
Female,35-39,1320,4,0.07892140177995416,104
Female,35-39,1320,5,0.0883354900660933,117
Female,35-39,1320,6,0.08089532004859835,107
Female,35-39,1320,7,0.08714117608383198,115
Female,35-39,1320,8,0.09338622843819068,123
Female,35-39,1320,9,0.09963030526216551,132
Female,35-39,1320,10,0.105852445429344,140
Female,35-39,1320,11,0.08777207952441048,116
Female,35-39,1320,12,0.08795784099691392,116
Female,35-39,1320,13,0.08814201481287881,116
Female,35-39,1320,14,0.08832497909097188,117
Female,35-39,1320,15,0.0881724648492171,116
Female,35-39,1320,16,0.08097598868807201,107
Female,35-39,1320,17,0.06758199716419776,89
Male,35-39,1475,0,0.0477319091121243,70
Male,35-39,1475,1,0.05350887969919592,79
Male,35-39,1475,2,0.059254899468463226,87
Male,35-39,1475,3,0.06498977115918342,96
Male,35-39,1475,4,0.07071312920340783,104
Male,35-39,1475,5,0.0769744945093747,114
Male,35-39,1475,6,0.07932900189183306,117
Male,35-39,1475,7,0.08168341608514242,120
Male,35-39,1475,8,0.08403749079064304,124
Male,35-39,1475,9,0.0814733268816888,120
Male,35-39,1475,10,0.0836222878069487,123
Male,35-39,1475,11,0.07545067744916296,111
Male,35-39,1475,12,0.06727918304885488,99
Male,35-39,1475,13,0.05910777727572606,87
Male,35-39,1475,14,0.05093711790029108,75
Male,35-39,1475,15,0.0426060119155207,63
Male,35-39,1475,16,0.03472998676744137,51
Male,35-39,1475,17,0.026853363442318912,40
Female,40-44,1957,0,0.00937163631236196,18
Female,40-44,1957,1,0.01622010917962397,32
Female,40-44,1957,2,0.023056538844730835,45
Female,40-44,1957,3,0.02988346534209248,58
Female,40-44,1957,4,0.03669979064931666,72
Female,40-44,1957,5,0.043817639427029,86
Female,40-44,1957,6,0.04321527291063844,85
Female,40-44,1957,7,0.05106954038782664,100
Female,40-44,1957,8,0.0589228409979826,115
Female,40-44,1957,9,0.0667750514078063,131
Female,40-44,1957,10,0.0746113728297208,146
Female,40-44,1957,11,0.0628547289988024,123
Female,40-44,1957,12,0.06903129860636176,135
Female,40-44,1957,13,0.07520567695077572,147
Female,40-44,1957,14,0.08137789343973234,159
Female,40-44,1957,15,0.0872170618260677,171
Female,40-44,1957,16,0.07966758667390486,156
Female,40-44,1957,17,0.08332487778695909,163
Male,40-44,2187,0,0.0234172728881332,51
Male,40-44,2187,1,0.028280200132931418,62
Male,40-44,2187,2,0.0331258246504856,72
Male,40-44,2187,3,0.03796338307233842,83
Male,40-44,2187,4,0.04279233169816554,94
Male,40-44,2187,5,0.0479547748780635,105
Male,40-44,2187,6,0.05375543229150452,118
Male,40-44,2187,7,0.059555522446646025,130
Male,40-44,2187,8,0.0653548822645163,143
Male,40-44,2187,9,0.06712958477160938,147
Male,40-44,2187,10,0.0727708708271625,159
Male,40-44,2187,11,0.07493685868816989,164
Male,40-44,2187,12,0.07710165766991534,169
Male,40-44,2187,13,0.07926475117333036,173
Male,40-44,2187,14,0.0814263818994331,178
Male,40-44,2187,15,0.0832707841069422,182
Male,40-44,2187,16,0.07513023382818611,164
Male,40-44,2187,17,0.066985865249141,146
