age,gender,COVID19_deaths,nb_orphans
1-20,Female,24,1
1-20,Male,8,0
21-50,Female,296,689
21-50,Male,440,1285
51-70,Female,159,57
51-70,Male,327,563
71+,Female,118,0
71+,Male,196,73
