"","age","gender","deaths"
"1","1-10","Male",0
"2","11-20","Male",27
"3","21-30","Male",267
"4","31-40","Male",327
"5","41-50","Male",762
"6","51-60","Male",507
"7","61-70","Male",466
"8","71-80","Male",468
"9","81-90","Male",108
"10","91+","Male",0
"11","1-10","Female",58
"12","11-20","Female",28
"13","21-30","Female",234
"14","31-40","Female",403
"15","41-50","Female",239
"16","51-60","Female",280
"17","61-70","Female",194
"18","71-80","Female",267
"19","81-90","Female",29
"20","91+","Female",36
