"age","gender","COVID19_deaths","nb_orphans"
"0-14","Female",260,0
"0-14","Male",411,0
"15-44","Female",10304,15197
"15-44","Male",20557,28753
"45-64","Female",43703,9382
"45-64","Male",74155,33368
"65+","Female",55739,23
"65+","Male",83237,2951
