"0 years","1 years","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0594065630988229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0594065630988229,0.0594136812788697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0594065630988229,0.0594136812788697,0.0594219662416951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0594065630988229,0.0594136812788697,0.0594219662416951,0.0594293586317477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0594065630988229,0.0594136812788697,0.0594219662416951,0.0594293586317477,0.0594325150923295,0,0,0,0,0,0,0,0,0,0,0,0,0
0.116829134957569,0.0594136812788697,0.0594219662416951,0.0594293586317477,0.0594325150923295,0.060278486205661,0,0,0,0,0,0,0,0,0,0,0,0
0.116829134957569,0.116843133592972,0.0594219662416951,0.0594293586317477,0.0594325150923295,0.060278486205661,0.0658758160078522,0,0,0,0,0,0,0,0,0,0,0
0.116829134957569,0.116843133592972,0.116859426827078,0.0594293586317477,0.0594325150923295,0.060278486205661,0.0658758160078522,0.0658762426718778,0,0,0,0,0,0,0,0,0,0
