country,date,gender,age,deaths,child_age,nb_c,orphans
SouthAfrica,30/04/2021,Female,0-9,10.23992051,0,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,1,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,2,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,3,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,4,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,5,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,6,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,7,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,8,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,9,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,10,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,11,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,12,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,13,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,14,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,15,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,16,0,0
SouthAfrica,30/04/2021,Female,0-9,10.23992051,17,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,0,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,1,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,2,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,3,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,4,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,5,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,6,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,7,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,8,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,9,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,10,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,11,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,12,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,13,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,14,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,15,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,16,0,0
SouthAfrica,09/05/2021,Male,0-9,12.76007949,17,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,0,0.0282477365508344,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,1,0.022598189240667522,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,2,0.016948641930500642,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,3,0.011299094620333761,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,4,0.0056495473101668804,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,5,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,6,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,7,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,8,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,9,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,10,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,11,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,12,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,13,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,14,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,15,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,16,0,0
SouthAfrica,01/05/2021,Female,10-19,16.02770167,17,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,0,0.00170103313781243,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,1,0.0013608265102499442,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,2,0.001020619882687458,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,3,6.804132551249721e-4,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,4,3.4020662756248604e-4,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,5,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,6,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,7,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,8,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,9,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,10,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,11,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,12,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,13,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,14,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,15,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,16,0,0
SouthAfrica,10/05/2021,Male,10-19,19.97229833,17,0,0
SouthAfrica,02/05/2021,Female,20-29,106.8513444,0,0.13052677512905853,14
SouthAfrica,02/05/2021,Female,20-29,106.8513444,1,0.12276067218107349,13
SouthAfrica,02/05/2021,Female,20-29,106.8513444,2,0.11499456923308847,12
SouthAfrica,02/05/2021,Female,20-29,106.8513444,3,0.10722846628510345,11
SouthAfrica,02/05/2021,Female,20-29,106.8513444,4,0.09946236333711843,11
SouthAfrica,02/05/2021,Female,20-29,106.8513444,5,0.09169626038913341,10
SouthAfrica,02/05/2021,Female,20-29,106.8513444,6,0.0790065556214736,8
SouthAfrica,02/05/2021,Female,20-29,106.8513444,7,0.06631685085381381,7
SouthAfrica,02/05/2021,Female,20-29,106.8513444,8,0.053627146086154,6
SouthAfrica,02/05/2021,Female,20-29,106.8513444,9,0.04415028413305985,5
