"country","date","gender","age","deaths","child_age","nb_c","orphans"
"SouthAfrica","2021-10-09","Female","0-9",147,0,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,1,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,2,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,3,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,4,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,5,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,6,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,7,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,8,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,9,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,10,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,11,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,12,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,13,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,14,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,15,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,16,0,0
"SouthAfrica","2021-10-09","Female","0-9",147,17,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,0,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,1,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,2,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,3,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,4,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,5,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,6,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,7,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,8,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,9,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,10,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,11,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,12,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,13,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,14,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,15,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,16,0,0
"SouthAfrica","2021-10-09","Male","0-9",154,17,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,0,0.0282477365508344,4
"SouthAfrica","2021-10-09","Female","10-19",151,1,0.0225981892406675,3
"SouthAfrica","2021-10-09","Female","10-19",151,2,0.0169486419305006,3
"SouthAfrica","2021-10-09","Female","10-19",151,3,0.0112990946203338,2
"SouthAfrica","2021-10-09","Female","10-19",151,4,0.00564954731016688,1
"SouthAfrica","2021-10-09","Female","10-19",151,5,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,6,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,7,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,8,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,9,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,10,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,11,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,12,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,13,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,14,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,15,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,16,0,0
"SouthAfrica","2021-10-09","Female","10-19",151,17,0,0
"SouthAfrica","2021-10-09","Male","10-19",158,0,0.00170103313781243,0
"SouthAfrica","2021-10-09","Male","10-19",158,1,0.00136082651024994,0
"SouthAfrica","2021-10-09","Male","10-19",158,2,0.00102061988268746,0
"SouthAfrica","2021-10-09","Male","10-19",158,3,0.000680413255124972,0
"SouthAfrica","2021-10-09","Male","10-19",158,4,0.000340206627562486,0
"SouthAfrica","2021-10-09","Male","10-19",158,5,0,0
"SouthAfrica","2021-10-09","Male","10-19",158,6,0,0
"SouthAfrica","2021-10-09","Male","10-19",158,7,0,0
"SouthAfrica","2021-10-09","Male","10-19",158,8,0,0
