"","country","date","gender","age","COVID19_deaths"
"1","SouthAfrica","2021-04-30","Female","0-9",105
"2","SouthAfrica","2021-04-30","Female","10-19",99
"3","SouthAfrica","2021-04-30","Female","20-29",467
"4","SouthAfrica","2021-04-30","Female","30-39",1565
"5","SouthAfrica","2021-04-30","Female","40-49",2845
"6","SouthAfrica","2021-04-30","Female","50-59",5841
"7","SouthAfrica","2021-04-30","Female","60-69",7961
"8","SouthAfrica","2021-04-30","Female","70-79",5988
"9","SouthAfrica","2021-04-30","Female","80+",3714
"10","SouthAfrica","2021-04-30","Male","0-9",68
"11","SouthAfrica","2021-04-30","Male","10-19",92
"12","SouthAfrica","2021-04-30","Male","20-29",451
"13","SouthAfrica","2021-04-30","Male","30-39",1265
"14","SouthAfrica","2021-04-30","Male","40-49",2951
"15","SouthAfrica","2021-04-30","Male","50-59",5591
"16","SouthAfrica","2021-04-30","Male","60-69",7597
"17","SouthAfrica","2021-04-30","Male","70-79",5365
"18","SouthAfrica","2021-04-30","Male","80+",2581
