country,date,gender,age,deaths
SouthAfrica,30/04/2021,Female,0-9,158.1052655
SouthAfrica,01/05/2021,Female,Oct-19,162.0211854
SouthAfrica,02/05/2021,Female,20-29,738.6403891
SouthAfrica,03/05/2021,Female,30-39,2660
SouthAfrica,04/05/2021,Female,40-49,4962
SouthAfrica,05/05/2021,Female,50-59,9940
SouthAfrica,06/05/2021,Female,60-69,12336.12663
SouthAfrica,07/05/2021,Female,70-79,10141
SouthAfrica,08/05/2021,Female,80+,4852
SouthAfrica,09/05/2021,Male,0-9,164.8947345
SouthAfrica,10/05/2021,Male,Oct-19,168.9788146
SouthAfrica,11/05/2021,Male,20-29,2559.186699
SouthAfrica,12/05/2021,Male,30-39,2348
SouthAfrica,13/05/2021,Male,40-49,5144
SouthAfrica,14/05/2021,Male,50-59,10031
SouthAfrica,15/05/2021,Male,60-69,12865.87337
SouthAfrica,16/05/2021,Male,70-79,9603
SouthAfrica,17/05/2021,Male,80+,6827
