"age","gender","country","date","deaths","nb_c","orphans"
"0-9","female","SouthAfrica","2021-10-09",147,0,0
"0-9","male","SouthAfrica","2021-10-09",154,0,0
"10-19","female","SouthAfrica","2021-10-09",151,0.0847432096525032,13
"10-19","male","SouthAfrica","2021-10-09",158,0.00510309941343729,1
"20-29","female","SouthAfrica","2021-10-09",689,1.00426351000979,692
"20-29","male","SouthAfrica","2021-10-09",2386,0.342828075792836,818
"30-39","female","SouthAfrica","2021-10-09",2480,1.88840852465195,4683
"30-39","male","SouthAfrica","2021-10-09",2189,1.76454410370574,3863
"40-49","female","SouthAfrica","2021-10-09",4626,1.30415053723129,6033
"40-49","male","SouthAfrica","2021-10-09",4795,2.27456912166728,10907
"50-59","female","SouthAfrica","2021-10-09",9266,0.392223769776858,3634
"50-59","male","SouthAfrica","2021-10-09",9351,1.23915297927677,11587
"60-69","female","SouthAfrica","2021-10-09",11500,0.0217227028288798,250
"60-69","male","SouthAfrica","2021-10-09",11994,0.442129088258237,5303
"70-79","female","SouthAfrica","2021-10-09",9454,0,0
"70-79","male","SouthAfrica","2021-10-09",8952,0.110324520206842,988
"80+","female","SouthAfrica","2021-10-09",4523,0,0
"80+","male","SouthAfrica","2021-10-09",6364,0.0258418566341165,164
