age,gender,covid19_deaths,nb_orphans
0-19,female,326,14
0-19,male,284,1
20-49,female,7857,11310
20-49,male,7897,15390
50-69,female,22329,4015
50-69,male,20595,16637
70+,female,16129,0
70+,male,13761,1128
