country,date,gender,age,COVID19_deaths
SouthAfrica,2021-10-09,Female,0-9,162
SouthAfrica,2021-10-09,Female,10-19,164
SouthAfrica,2021-10-09,Female,20-29,766
SouthAfrica,2021-10-09,Female,30-39,2214
SouthAfrica,2021-10-09,Female,40-49,4877
SouthAfrica,2021-10-09,Female,50-59,9528
SouthAfrica,2021-10-09,Female,60-69,12801
SouthAfrica,2021-10-09,Female,70-79,9636
SouthAfrica,2021-10-09,Female,80+,6493
SouthAfrica,2021-10-09,Male,0-9,141
SouthAfrica,2021-10-09,Male,10-19,143
SouthAfrica,2021-10-09,Male,20-29,667
SouthAfrica,2021-10-09,Male,30-39,2518
SouthAfrica,2021-10-09,Male,40-49,4712
SouthAfrica,2021-10-09,Male,50-59,9449
SouthAfrica,2021-10-09,Male,60-69,11146
SouthAfrica,2021-10-09,Male,70-79,9146
SouthAfrica,2021-10-09,Male,80+,4615
