"","country","date","gender","age","COVID19_deaths"
"1","SouthAfrica","2021-10-09","Female","0-9",164
"2","SouthAfrica","2021-10-09","Female","10-19",171
"3","SouthAfrica","2021-10-09","Female","20-29",723
"4","SouthAfrica","2021-10-09","Female","30-39",2178
"5","SouthAfrica","2021-10-09","Female","40-49",4796
"6","SouthAfrica","2021-10-09","Female","50-59",9464
"7","SouthAfrica","2021-10-09","Female","60-69",12599
"8","SouthAfrica","2021-10-09","Female","70-79",9568
"9","SouthAfrica","2021-10-09","Female","80+",6425
"10","SouthAfrica","2021-10-09","Male","0-9",124
"11","SouthAfrica","2021-10-09","Male","10-19",152
"12","SouthAfrica","2021-10-09","Male","20-29",655
"13","SouthAfrica","2021-10-09","Male","30-39",2453
"14","SouthAfrica","2021-10-09","Male","40-49",4621
"15","SouthAfrica","2021-10-09","Male","50-59",9275
"16","SouthAfrica","2021-10-09","Male","60-69",11137
"17","SouthAfrica","2021-10-09","Male","70-79",8889
"18","SouthAfrica","2021-10-09","Male","80+",4543
