"","age","gender","death"
"1","0-9","Female",0
"2","10-19","Female",25
"3","20-29","Female",0
"4","30-39","Female",336
"5","40-49","Female",465
"6","50-59","Female",1428
"7","60-69","Female",3885
"8","70-79","Female",7516
"9","80-89","Female",12000
"10","90+","Female",4734
"11","0-9","Male",0
"12","10-19","Male",23
"13","20-29","Male",34
"14","30-39","Male",316
"15","40-49","Male",1013
"16","50-59","Male",2801
"17","60-69","Male",8799
"18","70-79","Male",11708
"19","80-89","Male",10361
"20","90+","Male",2357
