Period,age,fertility_rate,country,gender,date
2000-2005,15-19,15.513477975016437,Poland,Female,2003
2000-2005,15-19,15.352620830496937,Poland,Female,2004
2005-2010,15-19,15.876933895921237,Poland,Female,2005
2005-2010,15-19,15.917271407837445,Poland,Female,2006
2005-2010,15-19,15.930597014925374,Poland,Female,2007
2005-2010,15-19,15.799233716475095,Poland,Female,2008
2005-2010,15-19,15.960536700868193,Poland,Female,2009
2010-2015,15-19,14.354865085854456,Poland,Female,2010
2010-2015,15-19,14.4328231292517,Poland,Female,2011
2010-2015,15-19,14.357333333333333,Poland,Female,2012
2010-2015,15-19,14.552656104380242,Poland,Female,2013
2010-2015,15-19,14.167318982387476,Poland,Female,2014
2015-2020,15-19,10.41555783009212,Poland,Female,2015
2015-2020,15-19,10.494669509594882,Poland,Female,2016
2015-2020,15-19,10.843853820598007,Poland,Female,2017
2015-2020,15-19,10.52974828375286,Poland,Female,2018
2015-2020,15-19,10.445740956826137,Poland,Female,2019
2000-2005,20-24,66.77177914110429,Poland,Female,2003
2000-2005,20-24,66.89669926650367,Poland,Female,2004
2005-2010,20-24,60.67567567567568,Poland,Female,2005
2005-2010,20-24,60.546875,Poland,Female,2006
2005-2010,20-24,60.473007712082264,Poland,Female,2007
2005-2010,20-24,60.310459693537645,Poland,Female,2008
2005-2010,20-24,60.670124481327804,Poland,Female,2009
2010-2015,20-24,51.250716332378225,Poland,Female,2010
2010-2015,20-24,51.228550295857985,Poland,Female,2011
2010-2015,20-24,51.49810174639332,Poland,Female,2012
2010-2015,20-24,51.60700389105058,Poland,Female,2013
2010-2015,20-24,51.666666666666664,Poland,Female,2014
2015-2020,20-24,48.47603305785124,Poland,Female,2015
2015-2020,20-24,49.06089193825043,Poland,Female,2016
2015-2020,20-24,48.76275738585497,Poland,Female,2017
2015-2020,20-24,48.525375939849624,Poland,Female,2018
2015-2020,20-24,48.6128078817734,Poland,Female,2019
2000-2005,25-29,89.69402985074628,Poland,Female,2003
2000-2005,25-29,89.74054412740544,Poland,Female,2004
2005-2010,25-29,92.5009746588694,Poland,Female,2005
2005-2010,25-29,92.77600510529675,Poland,Female,2006
2005-2010,25-29,92.8377358490566,Poland,Female,2007
2005-2010,25-29,92.69053549190535,Poland,Female,2008
2005-2010,25-29,92.69838308457712,Poland,Female,2009
2010-2015,25-29,91.24215809284819,Poland,Female,2010
2010-2015,25-29,90.91874600127959,Poland,Female,2011
2010-2015,25-29,91.45131578947368,Poland,Female,2012
2010-2015,25-29,91.43626448534424,Poland,Female,2013
2010-2015,25-29,91.11158192090396,Poland,Female,2014
2015-2020,25-29,95.83795620437957,Poland,Female,2015
2015-2020,25-29,96.63240810202551,Poland,Female,2016
2015-2020,25-29,96.14132104454686,Poland,Female,2017
2015-2020,25-29,95.64807541241163,Poland,Female,2018
2015-2020,25-29,96.01450443190976,Poland,Female,2019
2000-2005,30-34,52.500787401574804,Poland,Female,2003
2000-2005,30-34,52.47356321839081,Poland,Female,2004
2005-2010,30-34,71.81804623415361,Poland,Female,2005
2005-2010,30-34,71.90520984081041,Poland,Female,2006
2005-2010,30-34,71.97323943661972,Poland,Female,2007
2005-2010,30-34,72.09553264604811,Poland,Female,2008
2005-2010,30-34,71.9528936742934,Poland,Female,2009
2010-2015,30-34,70.97556142668428,Poland,Female,2010
2010-2015,30-34,71.65319426336376,Poland,Female,2011
2010-2015,30-34,70.97102382485512,Poland,Female,2012
2010-2015,30-34,71.37931034482759,Poland,Female,2013
2010-2015,30-34,71.0542437779196,Poland,Female,2014
2015-2020,30-34,84.25563425627817,Poland,Female,2015
2015-2020,30-34,84.0045751633987,Poland,Female,2016
2015-2020,30-34,84.47587131367293,Poland,Female,2017
2015-2020,30-34,84.38434903047091,Poland,Female,2018
2015-2020,30-34,84.1309949892627,Poland,Female,2019
2000-2005,35-39,21.97053872053872,Poland,Female,2003
2000-2005,35-39,22.01271186440678,Poland,Female,2004
2005-2010,35-39,27.913705583756347,Poland,Female,2005
2005-2010,35-39,27.84795321637427,Poland,Female,2006
2005-2010,35-39,27.91176470588235,Poland,Female,2007
2005-2010,35-39,27.813195548489666,Poland,Female,2008
2005-2010,35-39,27.675154320987655,Poland,Female,2009
2010-2015,35-39,31.71064467766117,Poland,Female,2010
2010-2015,35-39,31.833699633699634,Poland,Female,2011
2010-2015,35-39,31.71326164874552,Poland,Female,2012
2010-2015,35-39,31.86938202247191,Poland,Female,2013
2010-2015,35-39,31.86344827586207,Poland,Female,2014
2015-2020,35-39,36.97420230821453,Poland,Female,2015
2015-2020,35-39,37.10406937958639,Poland,Female,2016
2015-2020,35-39,36.973718791064385,Poland,Female,2017
2015-2020,35-39,37.090435914118416,Poland,Female,2018
2015-2020,35-39,37.11543450064851,Poland,Female,2019
2000-2005,40-44,4.7151037938439515,Poland,Female,2003
2000-2005,40-44,4.495855312735493,Poland,Female,2004
2005-2010,40-44,5.464988198269079,Poland,Female,2005
2005-2010,40-44,5.379788101059495,Poland,Female,2006
2005-2010,40-44,5.433110367892977,Poland,Female,2007
2005-2010,40-44,5.368956743002545,Poland,Female,2008
2005-2010,40-44,5.593350383631714,Poland,Female,2009
2010-2015,40-44,6.457094307561597,Poland,Female,2010
2010-2015,40-44,6.428812131423757,Poland,Female,2011
2010-2015,40-44,6.388245033112582,Poland,Female,2012
2010-2015,40-44,6.424413904607922,Poland,Female,2013
2010-2015,40-44,6.384554767533491,Poland,Female,2014
2015-2020,40-44,7.330514988470408,Poland,Female,2015
2015-2020,40-44,7.221556886227545,Poland,Female,2016
2015-2020,40-44,7.339663988312637,Poland,Female,2017
2015-2020,40-44,7.319285714285714,Poland,Female,2018
2015-2020,40-44,7.3351994401679494,Poland,Female,2019
2000-2005,45-49,0.20426065162907267,Poland,Female,2003
2000-2005,45-49,0.19874213836477989,Poland,Female,2004
2005-2010,45-49,0.20575079872204474,Poland,Female,2005
2005-2010,45-49,0.20710059171597633,Poland,Female,2006
2005-2010,45-49,0.2354152367879204,Poland,Female,2007
2005-2010,45-49,0.24783236994219654,Poland,Female,2008
2005-2010,45-49,0.24277016742770166,Poland,Female,2009
2010-2015,45-49,0.27106518282988873,Poland,Female,2010
2010-2015,45-49,0.24690338563170933,Poland,Female,2011
2010-2015,45-49,0.267402376910017,Poland,Female,2012
2010-2015,45-49,0.27892918825561314,Poland,Female,2013
2010-2015,45-49,0.25413402959094866,Poland,Female,2014
2015-2020,45-49,0.34494773519163763,Poland,Female,2015
2015-2020,45-49,0.3152454780361757,Poland,Female,2016
2015-2020,45-49,0.2905405405405405,Poland,Female,2017
2015-2020,45-49,0.3226337448559671,Poland,Female,2018
