age,gender,death,nb_c,orphans
0-9,Female,0,0,0
0-9,Male,0,0,0
10-19,Female,23.117123287671234,0.015747499112018316,0
10-19,Male,23.117123287671234,0.0023804067774179888,0
20-29,Female,0,0.4080208813673793,0
20-29,Male,23.117123287671234,0.20542899560483716,5
30-39,Female,323.6397260273973,1.1574129135111868,375
30-39,Male,300.52260273972604,0.9072152153048251,273
40-49,Female,531.6938356164384,0.7627084381090641,406
40-49,Male,1040.2705479452056,0.903001354035259,939
50-59,Female,1433.2616438356165,0.10724182707320419,154
50-59,Male,2658.469178082192,0.23097537350910435,614
60-69,Female,3814.3253424657537,0.00192735293408357,7
60-69,Male,8761.389726027397,0.022106166782091208,194
70-79,Female,7513.065068493151,0,0
70-79,Male,11835.967123287672,0.00782528375731755,93
80-89,Female,11859.084246575343,0,0
80-89,Male,10379.588356164384,0.00782528375731755,81
90+,Female,4646.541780821918,0,0
90+,Male,2334.8294520547947,0.00782528375731755,18
