"gender","child_age","orphans"
"Female",0,4
"Female",1,4
"Female",2,5
"Female",3,5
"Female",4,5
"Female",5,6
"Female",6,6
"Female",7,6
"Female",8,6
"Female",9,8
"Female",10,8
"Female",11,8
"Female",12,10
"Female",13,9
"Female",14,10
"Female",15,11
"Female",16,11
"Female",17,11
"Male",0,6
"Male",1,7
"Male",2,8
"Male",3,9
"Male",4,10
"Male",5,11
"Male",6,12
"Male",7,14
"Male",8,16
"Male",9,17
"Male",10,20
"Male",11,22
"Male",12,26
"Male",13,29
"Male",14,33
"Male",15,34
"Male",16,40
"Male",17,45
