country,orphanhood_ratio,primary_ratio,primary_secondary_ratio
Afghanistan,1.8748240812111554,1.9528387792101547,2.12608496389396
Albania,0.059971294476162874,0.0671130417310217,0.12422057154030981
Algeria,1.0309802833619692,1.1028916936220348,1.260103587988672
Andorra,0.03893831735490783,0.04368976463550601,0.08618246848519902
Angola,1.9534481518597806,2.030785401136773,2.2413989636691642
Antigua and Barbuda,0.17947137986861983,0.19902508228936966,0.3097228011384239
Argentina,0.2036045346361017,0.22104785168483027,0.3053989728172366
Armenia,0.10784565593816173,0.12017216485899201,0.2031992750583595
Australia,0.11553129354250588,0.12866175232530624,0.2151840892274505
Austria,0.06450675707111472,0.0721539570894549,0.1320941267868998
Azerbaijan,0.20031486087414055,0.22186715314753375,0.33893063454656713
Bahamas,0.09435929497393326,0.10525706877178781,0.1817631743044543
Bahrain,0.15377060524131678,0.17079717229469155,0.2727095994469011
Bangladesh,0.1702643893648877,0.18892089377489676,0.2965976864799302
Barbados,0.07829180219436647,0.08745586174316224,0.15545607435837627
Belarus,0.10141138349924726,0.11305916312202632,0.19303969968418644
Belgium,0.09936644733678661,0.11079740808347148,0.1897854434815775
Belize,0.33049395245655394,0.36357768787066325,0.5090024249254841
Benin,1.9436685179269462,2.021038020347758,2.2232101999439022
Bhutan,0.14377802391298294,0.159802616128154,0.2579844258164677
Bolivia (Plurinational State of),0.7397742085483331,0.7998846273776848,0.9674040222000511
Bosnia and Herzegovina,0.024282106780768805,0.027314528410345186,0.057642794979103504
Botswana,0.8927022278525294,0.9597238216740352,1.123056996480845
Brazil,0.20990670606939257,0.24183886808063831,0.3522852282445566
Brunei Darussalam,0.10761249938815566,0.11991450464514435,0.20283318311317708
Bulgaria,0.07226446003913121,0.08076878255210664,0.145340333696403
Burkina Faso,1.9501473066049302,2.0274876770335917,2.2347319359322197
Burundi,1.9524004050438417,2.029737076512989,2.2391722212598264
Cabo Verde,0.2988429457099068,0.3292671394802714,0.4692930459710436
Cambodia,0.5177930815630232,0.5648729091362039,0.7289809751435771
Cameroon,1.9319133549471155,2.009367080782719,2.204413110527557
Canada,0.05069446632131071,0.05679177217124309,0.10778089406534062
Central African Republic,1.9367435423505865,2.0141594890534975,2.211917211690318
Chad,1.9538911935616232,2.0312294092696512,2.2423937812470505
Chile,0.06958370903252725,0.07779288027756665,0.14079300157564367
China,0.09323436967068652,0.10401190265438288,0.17995000163086164
Colombia,0.2650736142930719,0.29563819773740385,0.44473156090716964
Comoros,1.8896633518748267,1.9675237545465372,2.145254639625627
Congo,1.9242739116465373,2.001793303104571,2.1929831831826196
Costa Rica,0.08753467054362768,0.0977003747601463,0.17069920066236402
Cote d'Ivoire,1.9377385522266215,2.0151471869310513,2.2134962663849937
Croatia,0.0408627788916151,0.04583637786006505,0.08978523159498117
Cuba,0.06482900630294408,0.07251199499769177,0.13264977911549283
Cyprus,0.029958453971764082,0.033662759637351235,0.06895492674279452
Czech Republic,0.08755861379669051,0.09772689736049492,0.17073829049026926
Democratic Republic of the Congo,1.95431355311349,2.031653293306388,2.2433886063575494
Denmark,0.1116112835915332,0.12433260417538784,0.2090911548228967
Djibouti,0.6688635164896087,0.7252089360961386,0.8931657308005739
Dominica,0.2591154282563187,0.28607297573356366,0.4180794206377195
Dominican Republic,0.3634016672918896,0.3991570918898582,0.5493825114789186
Ecuador,0.4435942426176508,0.4854749343324428,0.6444742574852741
Egypt,1.4629796871101473,1.542572916954471,1.682315612873422
El Salvador,0.18290732798264678,0.20279357470532247,0.31458471089236284
England & Wales,0.05946797339866993,0.06220511025551278,0.07315365768288415
Equatorial Guinea,1.92024321587584,1.997799397893448,2.187124287559958
Eritrea,1.8533446335317265,1.9315821954066656,2.0992493868582547
Estonia,0.07696851040798822,0.08598817841061278,0.1532476054250277
Eswatini,1.0507684405045188,1.1232779645480435,1.2795207716812382
Ethiopia,1.8683938412602983,1.9464755358110315,2.117948934475658
Fiji,0.840772330198927,0.9056282779143537,1.070782394375598
Finland,0.04222474167503802,0.0473551087505146,0.0923179756683575
France,0.03253490457281927,0.0349926348149097,0.04436723453311131
Gabon,1.83883051207452,1.9172159087093241,2.081608234009717
Gambia (Republic of The),1.9510475387852084,2.0283858146028484,2.236463645020498
Georgia,0.2121430992059755,0.23480991232241633,0.3552164605898154
Germany,0.019134034513466028,0.0220462586343835,0.03362295121422898
Ghana,1.8156152737351205,1.8942291593504377,2.0540594540126422
Greece,0.027272098317909166,0.030659477979730055,0.0636479528551843
Grenada,0.19287343339369867,0.21371731816880346,0.3285801741842593
Guatemala,0.8720489689272894,0.938231207674408,1.102329270139421
Guinea,1.936748759291852,2.014164667191629,2.2119254584498376
Guinea Bissau,1.9216380014801933,1.999181313360733,2.189139898682797
Guyana,0.4898512062578638,0.5350247357717949,0.6975047750610528
Haiti,0.9695978764938732,1.0394935703314117,1.1995964775004904
Honduras,0.442123115988845,0.4838962432796562,0.6427674913297069
Hungary,0.05916109587391781,0.066212201812456,0.12280330117075194
I.R. Iran,0.24435444874274662,0.24779980657640233,0.32749032882011603
Iceland,0.09672684744696626,0.10787713862474121,0.18556609408455826
India,0.4204019497237409,0.4309135352483439,0.6760826173739477
Indonesia,0.3514440095148315,0.38623949432369054,0.5348101699958365
Iraq,1.7201140692285868,1.7995067346270368,1.946801042053978
Ireland,0.11628052110181615,0.1294889641620726,0.2163440415868225
Israel,1.2244371130077687,1.3011483744473733,1.4488418740038582
Italy,0.023775922514706758,0.02650187176897023,0.04294669915027631
Jamaica,0.16353448325281353,0.18152947847535522,0.28691080355281307
Japan,0.03656468564922575,0.04104107308934648,0.08169816623955446
Jordan,0.7368798238999196,0.7968436544207435,0.9644030188165458
Kazakhstan,0.7989347881685666,0.8619114467699942,1.028257600246554
Kenya,1.5823853211009173,1.651376146788991,1.786788990825688
Kosovo,0.04247385277045413,0.047632853894674754,0.09277975272281067
Kuwait,0.22090740551766902,0.24439105416033646,0.3671580944147948
Kyrgyzstan,1.0920811852847883,1.1657593897699716,1.319947041807275
Lao People's Democratic Republic,0.6121693948929114,0.6652397508688954,0.832616482775139
Latvia,0.10246260956626885,0.11422163877229648,0.19470774973850336
Lebanon,0.2139911786082592,0.23683086546731802,0.35774321749162175
