age,gender,covid_deaths,excess_deaths,deaths
0-9,Male,7,-126.6,7
10-19,Male,7,-16.200000000000003,7
20-29,Male,51,-34.39999999999999,51
30-39,Male,117,-72.60000000000001,117
40-49,Male,488,79.20000000000003,488
50-59,Male,1843,1415.2,1843
60-69,Male,5061,6149,6149
70-79,Male,10830,13688.2,13688.2
80+,Male,23195,27511.6,27511.6
0-9,Female,4,-98.60000000000001,4
10-19,Female,11,-3.3999999999999995,11
20-29,Female,36,-3.4000000000000012,36
30-39,Female,84,3.6000000000000014,84
40-49,Female,254,100,254
50-59,Female,805,981.6,981.6
60-69,Female,1957,3367,3367
70-79,Female,5450,7469.8,7469.8
80+,Female,25259,32281.8,32281.8
