"gender","child_age","orphans"
"Female",0,13
"Female",1,15
"Female",2,17
"Female",3,19
"Female",4,21
"Female",5,21
"Female",6,24
"Female",7,24
"Female",8,26
"Female",9,27
"Female",10,27
"Female",11,29
"Female",12,31
"Female",13,33
"Female",14,32
"Female",15,34
"Female",16,38
"Female",17,39
"Male",0,36
"Male",1,41
"Male",2,45
"Male",3,50
"Male",4,55
"Male",5,62
"Male",6,66
"Male",7,73
"Male",8,80
"Male",9,85
"Male",10,90
"Male",11,94
"Male",12,101
"Male",13,105
"Male",14,108
"Male",15,111
"Male",16,118
"Male",17,124
