"year","age","rate","gender","country"
"2010","35-39",80.3,"M","England_Wales"
"2010","40-44",34,"M","England_Wales"
"2010","45-49",11.4,"M","England_Wales"
"2010","50-54",3.6,"M","England_Wales"
"2010","55-59",1.1,"M","England_Wales"
"2010","60-64",1.72480725067608,"M","England_Wales"
"2011","15-19",33.1906468949277,"M","England_Wales"
"2011","20-24",46.2,"M","England_Wales"
"2011","25-29",83.8,"M","England_Wales"
"2011","30-34",110.5,"M","England_Wales"
"2011","35-39",81.2,"M","England_Wales"
"2011","40-44",35,"M","England_Wales"
"2011","45-49",11.6,"M","England_Wales"
"2011","50-54",3.7,"M","England_Wales"
"2011","55-59",1.2,"M","England_Wales"
"2011","60-64",1.75091063770052,"M","England_Wales"
"2012","15-19",32.0938952009212,"M","England_Wales"
"2012","20-24",44.9,"M","England_Wales"
"2012","25-29",84.1,"M","England_Wales"
"2012","30-34",111.6,"M","England_Wales"
"2012","35-39",83.5,"M","England_Wales"
"2012","40-44",35.8,"M","England_Wales"
"2012","45-49",11.9,"M","England_Wales"
"2012","50-54",3.9,"M","England_Wales"
"2012","55-59",1.2,"M","England_Wales"
"2012","60-64",2.24728730437459,"M","England_Wales"
"2013","15-19",28.2392806926329,"M","England_Wales"
"2013","20-24",40.4,"M","England_Wales"
"2013","25-29",80.3,"M","England_Wales"
"2013","30-34",107.5,"M","England_Wales"
"2013","35-39",81.2,"M","England_Wales"
"2013","40-44",34.8,"M","England_Wales"
"2013","45-49",11.4,"M","England_Wales"
"2013","50-54",3.7,"M","England_Wales"
"2013","55-59",1.2,"M","England_Wales"
"2013","60-64",2.34444590831121,"M","England_Wales"
"2014","15-19",25.0317737177224,"M","England_Wales"
"2014","20-24",37.7,"M","England_Wales"
"2014","25-29",79.2,"M","England_Wales"
"2014","30-34",106.7,"M","England_Wales"
"2014","35-39",82.3,"M","England_Wales"
"2014","40-44",35.5,"M","England_Wales"
"2014","45-49",11.7,"M","England_Wales"
"2014","50-54",3.8,"M","England_Wales"
"2014","55-59",1.2,"M","England_Wales"
"2014","60-64",2.41299761294688,"M","England_Wales"
"2015","15-19",23.7433680665109,"M","England_Wales"
"2015","20-24",35.7,"M","England_Wales"
"2015","25-29",77.9,"M","England_Wales"
"2015","30-34",107.1,"M","England_Wales"
"2015","35-39",83.6,"M","England_Wales"
"2015","40-44",36,"M","England_Wales"
"2015","45-49",11.8,"M","England_Wales"
"2015","50-54",3.8,"M","England_Wales"
"2015","55-59",1.2,"M","England_Wales"
"2015","60-64",2.45859223185463,"M","England_Wales"
"2016","15-19",23.3804528742212,"M","England_Wales"
"2016","20-24",33.6,"M","England_Wales"
"2016","25-29",75.9,"M","England_Wales"
"2016","30-34",106.2,"M","England_Wales"
"2016","35-39",83.3,"M","England_Wales"
"2016","40-44",37,"M","England_Wales"
"2016","45-49",12,"M","England_Wales"
"2016","50-54",3.8,"M","England_Wales"
"2016","55-59",1.3,"M","England_Wales"
"2016","60-64",2.47956719620805,"M","England_Wales"
"2017","15-19",22.6745109593174,"M","England_Wales"
"2017","20-24",31.6,"M","England_Wales"
"2017","25-29",73.2,"M","England_Wales"
"2017","30-34",104.3,"M","England_Wales"
"2017","35-39",80.8,"M","England_Wales"
"2017","40-44",36.9,"M","England_Wales"
"2017","45-49",12.1,"M","England_Wales"
"2017","50-54",3.7,"M","England_Wales"
"2017","55-59",1.3,"M","England_Wales"
"2017","60-64",2.47842966660081,"M","England_Wales"
"2018","15-19",18.7223490662669,"M","England_Wales"
"2018","20-24",28.8,"M","England_Wales"
"2018","25-29",69.4,"M","England_Wales"
"2018","30-34",101.7,"M","England_Wales"
"2018","35-39",78.5,"M","England_Wales"
"2018","40-44",35.9,"M","England_Wales"
"2018","45-49",11.8,"M","England_Wales"
"2018","50-54",3.6,"M","England_Wales"
"2018","55-59",1.2,"M","England_Wales"
"2018","60-64",2.06061504307572,"M","England_Wales"
