children,gender,age
0,male,1
0,male,2
0,male,3
0,male,4
0,male,5
0,male,6
0,male,7
0,male,8
0,male,9
0,male,10
0,male,11
0,male,12
0,male,13
0,male,14
0.018626229398919527,male,15
0.037321077811986854,male,16
0.05601592622505418,male,17
0.07844236955856662,male,18
0.10174596886748818,male,19
0.13539884514154232,male,20
0.17060901579614554,male,21
0.20907891917280175,male,22
0.2501756719910498,male,23
0.293439828221496,male,24
0.38154805373357503,male,25
0.47229830184083765,male,26
0.5630647772369632,male,27
0.6543976456128913,male,28
0.7478696698354893,male,29
0.8731429097706156,male,30
0.9962670453573956,male,31
1.1156399047676189,male,32
1.1960583942399303,male,33
1.2723912504779644,male,34
1.3220176061309628,male,35
1.368710485163085,male,36
1.416580490163317,male,37
1.455477506163317,male,38
1.493274992163317,male,39
1.486836013986229,male,40
1.4782404788545664,male,41
1.4687449791154994,male,42
1.4243498981154994,male,43
1.3746557861154993,male,44
1.296452904971568,male,45
1.217562558368486,male,46
1.134971657979102,male,47
1.028482437979102,male,48
0.9233934899791021,male,49
0.8107441085894981,male,50
0.6992525106045445,male,51
0.5878602145835424,male,52
0.5118685065835424,male,53
0.4381769965835424,male,54
0.36588007052438243,male,55
0.29508373686202716,male,56
0.22668696431096175,male,57
0.19529022631096174,male,58
0.16479345031096176,male,59
0.13561781612169088,male,60
0.10704244635803595,male,61
0.0791669359825335,male,62
0.07021926529439679,male,63
0.06182779334967242,male,64
0.05193416623609942,male,65
0.04208692007164783,male,66
0.032777876542970125,male,67
0.029062897449307363,male,68
0.025012125782480125,male,69
0.02115718320014305,male,70
0.017613977217259345,male,71
0.014105885592352785,male,72
0.012588250152229401,male,73
0.01207804972062656,male,74
0.011526246807484927,male,75
0.011086853482757845,male,76
0.010772582270143183,male,77
0.009054044492066048,male,78
0.006807712535220495,male,79
0.004584959330149019,male,80
0.002291706154084735,male,81
0,male,82
0,male,83
0,male,84
0,male,85
0,male,86
0,male,87
0,male,88
0,male,89
0,male,90
0,male,91
0,male,92
0,male,93
0,male,94
0,male,95
0,male,96
0,male,97
0,male,98
0,male,99
0,male,100
