"","age","gender","nb_covid19","nb_excess","deaths","nb_excess_sample","nb_covid19_sample"
"1","00-04","female",1,0,0,0,0
"2","05-09","female",3,0,1,0,1
"3","10-14","female",4,20,16,16,3
"4","15-19","female",8,0,7,0,7
"5","20-24","female",27,0,29,0,29
"6","25-29","female",49,55,53,53,41
"7","30-34","female",96,172,164,164,93
"8","35-39","female",171,345,377,377,155
"9","40-44","female",275,411,431,431,292
"10","45-49","female",531,477,536,480,536
"11","50-54","female",957,876,991,856,991
"12","55-59","female",1456,1805,1803,1803,1453
"13","60-64","female",2150,2352,2253,2253,2153
"14","65-69","female",3046,1217,2958,1164,2958
"15","70-74","female",4913,5447,5509,5509,4827
"16","75-79","female",7247,6814,7335,6928,7335
"17","80-84","female",10810,7798,10879,7906,10879
"18","85-89","female",13377,7428,13225,7332,13225
"19","90+","female",17947,12470,17862,12575,17862
"20","all-ages","female",0,0,0,0,0
"21","00-04","male",2,0,0,0,0
"22","05-09","male",0,0,0,0,0
"23","10-14","male",5,0,9,0,9
"24","15-19","male",14,0,9,0,9
"25","20-24","male",33,0,25,0,25
"26","25-29","male",73,59,79,55,79
"27","30-34","male",144,247,221,221,153
"28","35-39","male",241,542,546,546,229
"29","40-44","male",420,620,614,614,422
"30","45-49","male",825,919,882,882,795
"31","50-54","male",1536,2189,2158,2158,1544
"32","55-59","male",2656,3710,3659,3659,2715
"33","60-64","male",4035,4539,4673,4673,4027
"34","65-69","male",5284,2889,5297,2851,5297
"35","70-74","male",8267,8830,8707,8707,8241
"36","75-79","male",11114,10657,11032,10815,11032
"37","80-84","male",14129,11825,14020,11886,14020
"38","85-89","male",14039,11326,14246,11395,14246
"39","90+","male",12000,11628,11805,11658,11805
"40","all-ages","male",0,0,0,0,0
