age,gender,excess,covid19_deaths,nb_deaths,nb_orphans
0-14,female,-208,14,23,0
0-14,male,-291,13,13,0
15-44,female,1126,761,1195,1623
15-44,male,1835,1152,1921,2493
45-64,female,6222,5712,6456,1106
45-64,male,12974,10052,12974,4238
65+,female,39644,60140,61025,1
65+,male,59140,68521,69160,489
